synonyms	doi	model_treatment	msi_status	mutational_burden	ploidy	parent_id	mutation_data	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type	cancer_type_ncit_id	sampling_day	sample_treatment_details	tnm_integrated	species	HCMI
			MSS	2.366666667	4.411067383		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
	10.1290/1071-2690(2001)037<0625:EACONH>2.0.CO;2	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioblastoma	C3058				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Blood Cancers	C4673				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Chondrosarcoma	C2946				Homo Sapiens	
SF-539 BT			MSS	6.6	3.049467311		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3796				Homo Sapiens	
KATO 3;JTC-28			MSS	16.23333333	3.584085102		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Gastric Carcinoma	C5250				Homo Sapiens	
KOSC-2 cl3-43			MSS	9.866666667	2.791229467		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Head and Neck Carcinoma	C34447				Homo Sapiens	
			MSS	17.93333333	2.826900326		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
				20.6	2.849530144		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Breast Carcinoma	C5214				Homo Sapiens	
			MSS	4.833333333	3.021421016		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
WM 451-Lu;WC00059;LU451;EST81			MSS	14.7	3.901640398	SIDM00802	1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
SJNB-6;NB6-DH;N2307L			MSS	5.666666667	1.98113166		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C7550		Cisplatin and Chlorambucil		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Biliary Tract Carcinoma	C4436				Homo Sapiens	
			MSS	5.966666667	3.084595091		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Chronic Myelogenous Leukemia	C3174		5 years with Busulfan (1979-1984)		Homo Sapiens	
			MSS	20.23333333	2.63487674		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
SJRH18			MSS	7.766666667	3.514480152		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Rhabdomyosarcoma	C8971				Homo Sapiens	
			MSS	17.7	2.492666737		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
			MSS	142.0666667	3.218504921		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Other Solid Carcinomas	C3043				Homo Sapiens	
			MSS	6.033333333	2.018368616		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Bladder Carcinoma	C4912				Homo Sapiens	
			MSS	5.3	3.560525479		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ewing's Sarcoma	C4817				Homo Sapiens	
	10.1002/(SICI)1097-0215(19970207)70:4<443::AID-IJC12>3.0.CO;2-G	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gastric Carcinoma	C4911				Homo Sapiens	
			MSS	14.1	2.65789237		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Oral Cavity Carcinoma	C4648				Homo Sapiens	
			MSS	10.3	1.961576632		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C9385				Homo Sapiens	
	10.3389/fonc.2013.00183	Unknown				SIDM01346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Rhabdomyosarcoma	C8971				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
Ueda-1			MSS	11.1	2.621290397		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Oral Cavity Carcinoma	C4833				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Breast Carcinoma	C4872				Homo Sapiens	
			MSS	10.0	3.226191121		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Cervical Carcinoma	C27676				Homo Sapiens	
			MSS	29.2	2.702144346		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C2926				Homo Sapiens	
			MSS	11.76666667	1.771856207		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C9385				Homo Sapiens	
OESO_146		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Esophageal Carcinoma	C4025	21.0		IB	Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Head and Neck Carcinoma	C4648				Homo Sapiens	
Hep-G2/C3A			MSS	9.7	2.227958879	SIDM00904	1.0	1.0	1.0	1.0	0.0	0.0	1.0	Hepatocellular Carcinoma	C3728				Homo Sapiens	
WC00060			MSS	9.433333333	2.871932529		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Acute Myeloid Leukemia	C9154				Homo Sapiens	
NB-I			MSS	13.6	1.940229892		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
			MSS	9.466666667	1.925827566		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
OESO_103		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Esophageal Carcinoma	C4025	23.0		IIIC	Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349	31.0	5-FU		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gastric Carcinoma	C4004				Homo Sapiens	
LB771-HNSCC;LB771-ORL			MSS	4.066666667	3.041400231		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Head and Neck Carcinoma	C34447				Homo Sapiens	
WSU-NHL-1			MSI	30.2	2.004448807		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C3209				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
HCMB;Human Melanoma Cell Bowes;Bowes melanoma cells							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349	4.0		IIIC	Homo Sapiens	
			MSS	8.933333333	2.773206952		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C9383				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Kidney Carcinoma	C9385				Homo Sapiens	
		Unknown				SIDM01321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C3850				Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Endometrial Carcinoma	C7359				Homo Sapiens	
TT2609-CO2			MSS	8.466666667	3.176626853		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Thyroid Gland Carcinoma	C8054				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C3717				Homo Sapiens	
	10.3748/wjg.v11.i22.3392	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Biliary Tract Carcinoma	C4436				Homo Sapiens	
			MSS	12.76666667	3.540037595		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Osteosarcoma	C9145				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
			MSS	4.2	4.203984771		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4017	30.0			Homo Sapiens	
			MSS	6.633333333	2.865404856		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Chondrosarcoma	C2946				Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C105555				Homo Sapiens	
	10.1016/S0165-4608(96)00404-9	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C3222				Homo Sapiens	
			MSS	8.366666667	4.36323072		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C5543		5-FU		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C6906				Homo Sapiens	
			MSS	12.33333333	3.750016608		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Biliary Tract Carcinoma	C35417				Homo Sapiens	
			MSS	9.233333333	2.148085135		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Osteosarcoma	C9145				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	B-Cell Non-Hodgkin's Lymphoma	C4337				Homo Sapiens	
			MSS	11.63333333	2.018522633		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Other Blood Cancers	C7402				Homo Sapiens	
IARC-EW11			MSS	8.333333333	3.555297633		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ewing's Sarcoma	C4817	3.0			Homo Sapiens	
	10.1002/ijc.2910440212	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mesothelioma	C45662				Homo Sapiens	
GM02219;GM2219C			MSI	142.7333333	4.080142865		1.0	1.0	1.0	1.0	0.0	0.0	1.0	T-Lymphoblastic Leukemia	C9142				Homo Sapiens	
	10.1002/(SICI)1097-0215(19970207)70:4<443::AID-IJC12>3.0.CO;2-G	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gastric Carcinoma	C4004				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
			MSS	12.76666667	3.934260258		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C105555				Homo Sapiens	
							1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C4908				Unknown	
	10.1073/pnas.90.7.2842	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C9383				Homo Sapiens	
						SIDM00854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Burkitt's Lymphoma	C2912		yclophosphamide, hydroxydaunomycin, vincristine, and prednisone (CHOP chemotherapy)		Homo Sapiens	
			MSS	23.6	3.731277993		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Cervical Carcinoma	C27676				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mesothelioma	C45662				Homo Sapiens	
			MSI	183.9666667	1.958197722		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4349				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
ESCADO1			MSS	9.833333333	2.061739639		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ewing's Sarcoma	C4817				Homo Sapiens	
IARC-EW12			MSS	5.4	2.344767489		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ewing's Sarcoma	C4817				Homo Sapiens	
			MSS	4.8	3.148910011		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4872				Homo Sapiens	
SK-ML2			MSI	21.73333333	2.107573261		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
	10.1046/j.0007-1048.2002.03336.x	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
			MSS	26.56666667	3.820205285		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4872				Homo Sapiens	
	10.1007/s00441-001-0510-y	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
			MSS	14.53333333	2.660235		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Bladder Carcinoma	C4912				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C3400				Homo Sapiens	
						SIDM01016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
SK-N-BE(2)-M17			MSS	11.06666667	1.823922415	SIDM00894	1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Rhabdomyosarcoma	C8971				Homo Sapiens	
	10.1182/blood.V82.2.456.456	Unknown				SIDM01908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Acute Myeloid Leukemia	C7965	12.0			Homo Sapiens	
NCI-HUT-69;H69/P;NCI-H69C			MSS	9.4	1.607394461		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
		Unknown				SIDM01193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioma	C60781				Homo Sapiens	
			MSS	10.2	4.958364645		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C9154				Homo Sapiens	
HT 1376.T			MSS	8.533333333	4.99278065		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Bladder Carcinoma	C4912				Homo Sapiens	
	10.1126/science.279.5349.349	Transformed (hTERT)				SIDM01891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C45714				Homo Sapiens	
			MSS	5.5	1.97531568		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C9154				Homo Sapiens	
COLO_037		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349	19.0		IIA	Homo Sapiens	
			MSS	5.1	3.255389725		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Breast Carcinoma	C4872				Homo Sapiens	
WM-266-mel;WC00097							0.0	1.0	1.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	10.53333333	2.083801224		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C9360				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C3194				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioma	C60781				Homo Sapiens	
Henrietta Lacks cells;Helacyton gartleri			MSS	8.466666667	3.45538056		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Cervical Carcinoma	C4029				Homo Sapiens	
			MSS	6.9	2.403295752		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
	10.3389/fonc.2013.00183	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Rhabdomyosarcoma	C3749				Homo Sapiens	
	10.1182/blood.V89.11.4021	Unknown				SIDM01908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Acute Myeloid Leukemia	C7965	12.0			Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioblastoma	C3058				Homo Sapiens	
NCC-c-Lu-135			MSS	14.2	2.436547753		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
	10.1007/BF02634191		MSS	6.7	3.603081143		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C2955				Homo Sapiens	
			MSS	11.1	2.847071912		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Thyroid Gland Carcinoma	C3878				Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	1.0	Glioma	C3903				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349				Homo Sapiens	
			MSS	9.9	3.022175164		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
	10.1046/j.1464-410x.2000.00247.x	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Kidney Carcinoma	C4033				Homo Sapiens	
	10.1111/j.1346-8138.1990.tb01615.x	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C4819				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Biliary Tract Carcinoma	C3844				Homo Sapiens	
			MSS	2.933333333	3.662041806		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C9385				Homo Sapiens	
			MSS	11.76666667	3.429424602		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Oral Cavity Carcinoma	C4648				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Acute Myeloid Leukemia	C9154				Homo Sapiens	
			MSS	11.4	2.626736643		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Cervical Carcinoma	C4029				Homo Sapiens	
			MSS	7.8	3.066847957		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
	10.1002/ijc.10591	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C9231				Homo Sapiens	
			MSS	11.73333333	2.063606196		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C3457				Homo Sapiens	
			MSS	5.366666667	1.976530861		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C3171				Homo Sapiens	
			MSS	6.5	2.301488446		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Mesothelioma	C45662				Homo Sapiens	
PA I			MSS	8.166666667	1.977060007		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C4908				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	B-Lymphoblastic Leukemia	C7953				Homo Sapiens	
			MSS	7.266666667	2.263272718		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioma	C60781				Homo Sapiens	
			MSS	7.3	2.454532593		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Esophageal Carcinoma	C4025				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cervical Carcinoma	C4029				Homo Sapiens	
			MSS	13.16666667	3.606117968		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C2926				Homo Sapiens	
			MSS	8.866666667	1.739143357		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C9385				Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Thyroid Gland Carcinoma	C8054				Homo Sapiens	
			MSS	7.666666667	3.976171438		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Thyroid Gland Carcinoma	C8054				Homo Sapiens	
	10.1007/s11626-998-0068-z	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bladder Carcinoma	C4912				Homo Sapiens	
HCC0366			MSS	16.46666667	3.445900706		1.0	1.0	1.0	1.0	0.0	0.0	0.0	Other Solid Carcinomas	C9133				Homo Sapiens	
			MSS	9.566666667	3.771135288		1.0	0.0	1.0	1.0	0.0	0.0	1.0	T-Lymphoblastic Leukemia	C9142				Homo Sapiens	
	10.1002/hep.1840070322	None					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hepatocellular Carcinoma	C3828				Homo Sapiens	
			MSS	7.766666667	3.176908557		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C3850				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Cell Non-Hodgkin's Lymphoma	C3720				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Acute Myeloid Leukemia	C7972				Homo Sapiens	
			MSS	20.33333333	2.267389899		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Esophageal Squamous Cell Carcinoma	C4024				Homo Sapiens	
C8166-CD4		Transformed (HTLV-1)					1.0	1.0	1.0	1.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
COLO_039		None	MSI				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C5543	20.0		IIIB	Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ewing's Sarcoma	C3716				Homo Sapiens	
						SIDM01016	0.0	1.0	1.0	0.0	0.0	0.0	0.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
	10.1158/2159-8290.CD-15-1442	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Biliary Tract Carcinoma	C35417				Homo Sapiens	
COLO_005		None	MSS	7.11	3.1		1.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C9383	13.0		IIIB	Homo Sapiens	HCM-SANG-0266-C20
	10.1016/0165-4608(84)90002-5						0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ewing's Sarcoma	C4817	26.0			Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Head and Neck Carcinoma	C4044				Homo Sapiens	
			MSS	5.833333333	2.051963356		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C9154				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C9120	26.0		IV	Homo Sapiens	
			MSS	9.5	2.91158139		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4194				Homo Sapiens	
			MSS	14.7	2.085614005		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
