"Field"	"model_id"	"name"	"type"	"growth_properties"	"parent_id"	"origin_patient_sample_id"	"comments"	"supplier"	"external_ids"	"publications"
	"SIDM01162"	"SW156"	"Cell Line"	"Adherent"			" "	"ATCC:CRL-2175"	"COSMIC1240220,ACH-001398,CVCL_1719,CCLE_Name:SW156_KIDNEY"	
	"SIDM01593"	"HCC95"	"Cell Line"	"Adherent"			" "	"KCLB:70095"	"ACH-000454,CVCL_5137,CCLE_Name:HCC95_LUNG"	
	"SIDM00138"	"NCI-H23"	"Cell Line"	"Adherent"			" "	"NCI:NCI-H23"	"COSMIC905942,ACH-000900,CVCL_1547,CCLE_Name:NCIH23_LUNG"	
	"SIDM01300"	"HCM-SANG-0280-C18"	"Organoid"	"Unknown"			" "			
	"SIDM00455"	"PA-TU-8902"	"Cell Line"	"Adherent"			" "	"DSMZ:ACC-179"	"COSMIC1298526,ACH-000599,CVCL_1845,CCLE_Name:PATU8902_PANCREAS"	
	"SIDM01626"	"LN-319"	"Cell Line"	"Adherent"	"SIDM01366"	"SIDS01392"	" LN-319 was found to be a derivative of LN-992. (PubMed=22570425)."	"AddexBio:C0005001"	"ACH-000128,CVCL_3958,CCLE_Name:LN319_CENTRAL_NERVOUS_SYSTEM"	
	"SIDM00666"	"Hs-683"	"Cell Line"	"Adherent"			" "	"ATCC:HTB-138"	"COSMIC1240150,ACH-000067,CVCL_0844,CCLE_Name:HS683_CENTRAL_NERVOUS_SYSTEM"	
	"SIDM00177"	"M980513"	"Cell Line"	"Unknown"			" "		"COSMIC1723794,ACH-002338,CVCL_S675,CCLE_Name:M980513_SKIN"	
	"SIDM01341"	"SLR20"	"Cell Line"	"Unknown"			" "		"ACH-000127,CVCL_V606,CCLE_Name:SLR20_KIDNEY"	
	"SIDM00635"	"MC-CAR-Z2"	"Cell Line"	"Suspension"			" MC-CAR-Z2 is a derivative of MC-CAR (ATCC)."	"ATCC:CRL-8147"	"CVCL_6671"	
	"SIDM00368"	"SBC-5"	"Cell Line"	"Unknown"			" "	"JCRB:JCRB0819"	"COSMIC713880,ACH-000670,CVCL_1679,CCLE_Name:SBC5_LUNG"	
	"SIDM01129"	"NCI-H524"	"Cell Line"	"Suspension"			" "	"ATCC:CRL-5831"	"COSMIC908483,ACH-000816,CVCL_1568,CCLE_Name:NCIH524_LUNG"	
	"SIDM00533"	"HuP-T3"	"Cell Line"	"Adherent"			" "	"ECACC:93121055"	"COSMIC907285,ACH-000118,CVCL_1299,CCLE_Name:HUPT3_PANCREAS"	
	"SIDM01305"	"HCM-SANG-0286-C20"	"Organoid"	"Unknown"			" "			
	"SIDM00524"	"DMS-79"	"Cell Line"	"Suspension"			" "	"ECACC:95062824"	"COSMIC753551,ACH-000703,CVCL_1178,CCLE_Name:DMS79_LUNG"	
	"SIDM00821"	"RCC-AB"	"Cell Line"	"Adherent"			" "	"CLS:RCC-AB"	"COSMIC1524418,ACH-002187,CVCL_5868,CCLE_Name:RCCAB_KIDNEY"	
	"SIDM00592"	"HO-1-N-1"	"Cell Line"	"Adherent"			" "	"JCRB:JCRB0831"	"COSMIC924111,ACH-002244,CVCL_1284,CCLE_Name:HO1N1_UPPER_AERODIGESTIVE_TRACT"	
	"SIDM00971"	"ZR-75-30"	"Cell Line"	"Adherent"			" "	"ATCC:CRL-1504"	"COSMIC909907,ACH-000828,CVCL_1661,CCLE_Name:ZR7530_BREAST"	
	"SIDM00397"	"Set2"	"Cell Line"	"Suspension"			" "	"DSMZ:ACC-608"	"COSMIC1659820,ACH-000195,CVCL_2187,CCLE_Name:SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	
	"SIDM01369"	"Mac-1"	"Cell Line"	"Unknown"			" MAC-1, MAC-2A & MAC-2B were all derived from the same patient. (10.1056/NEJM199204233261704).
Mac-1 was derived in 1985 from circulating Sézary-like cells in the peripheral blood.
Mac-2A and Mac-2B were started from separate skin-tumor nodules in 1987."		"CVCL_H631"	
	"SIDM00114"	"NCI-H513"	"Cell Line"	"Unknown"			" NCI-H125 and NCI-H513 have been show to be cross contaminated (ATCC, ICLAC)"	"NCI-Navy Medical Oncology Branch:NCI-H513"	"COSMIC1240141,ACH-002335,CVCL_A570,CCLE_Name:NCIH513_PLEURA"	
	"SIDM01896"	"95T1000"	"Cell Line"	"Unknown"			" "		"ACH-001796,,CCLE_Name:95T1000_SOFT_TISSUE"	22678079
	"SIDM00207"	"D-542MG"	"Cell Line"	"Unknown"			" L542 is a matched normal line initiated by Epstein Barr virus (EBV) transformation from the same patient as D-542MG."		"COSMIC753549,ACH-002230,CVCL_1164,CCLE_Name:D542MG_CENTRAL_NERVOUS_SYSTEM"	
	"SIDM00514"	"COLO-794"	"Cell Line"	"Unknown"			" COLO-818 has been shown to come from the same patient as COLO-800 (DOI: 10.1002/ijc.25242.)
COLO-800 and COLO-794 were both derived from the same patient (ECACC)."	"ECACC:94072237"	"COSMIC1297437,ACH-001339,CVCL_2408,CCLE_Name:COLO794_SKIN"	
	"SIDM01330"	"PaCaDD-159"	"Cell Line"	"Adherent"			"https://www.austinpublishinggroup.com/cancer-clinical-research/fulltext/cancer-v2-id1055.php "	"DSMZ:ACC 745"	"ACH-001378,CVCL_M465,CCLE_Name:PACADD159_PANCREAS"	
	"SIDM01444"	"SNU-626"	"Cell Line"	"Adherent"			" "	"KCLB:00626"	"ACH-000370,CVCL_5080,CCLE_Name:SNU626_CENTRAL_NERVOUS_SYSTEM"	11776963
	"SIDM00563"	"MY"	"Cell Line"	"Unknown"			" MY-M12 is the subclone of the MY (JCRB)."	"JCRB:JCRB0158.0"	"CVCL_3034"	
	"SIDM01766"	"SW1353"	"Cell Line"	"Adherent"			" "	"ATCC:HTB-94"	"ACH-000418,,CCLE_Name:SW1353_BONE"	
	"SIDM00083"	"SF539"	"Cell Line"	"Unknown"			" "	"NCI:SF-539"	"COSMIC905984,ACH-000273,CVCL_1691,CCLE_Name:SF539_CENTRAL_NERVOUS_SYSTEM"	
	"SIDM00687"	"KATOIII"	"Cell Line"	"Semi-Adherent"			" "	"ATCC:HTB-103"	"COSMIC907276,ACH-000793,CVCL_0371,CCLE_Name:KATOIII_STOMACH"	
	"SIDM00603"	"KOSC-2"	"Cell Line"	"Unknown"			" "	"JCRB:JCRB0126.1"	"COSMIC753570,ACH-002260,CVCL_1337,CCLE_Name:KOSC2_UPPER_AERODIGESTIVE_TRACT"	
	"SIDM00728"	"NCI-H2291"	"Cell Line"	"Adherent"			" "	"ATCC:CRL-5939"	"COSMIC724874,ACH-000718,CVCL_1546,CCLE_Name:NCIH2291_LUNG"	
	"SIDM00126"	"K2"	"Cell Line"	"Unknown"			" "		"COSMIC1298160,ACH-002147,CVCL_AT85,CCLE_Name:K2_SKIN"	
	"SIDM01702"	"Hs-739-T"	"Cell Line"	"Adherent"			" "	"ATCC:CRL-7477"	"ACH-000413,,CCLE_Name:HS739T_FIBROBLAST"	
	"SIDM01074"	"GMS-10"	"Cell Line"	"Adherent"			" "	"DSMZ:ACC-405"	"COSMIC906873,ACH-000102,CVCL_1233,CCLE_Name:GMS10_CENTRAL_NERVOUS_SYSTEM"	
	"SIDM01240"	"451Lu"	"Cell Line"	"Adherent"	"SIDM00802"	"SIDS00062"	" 451Lu is a selected xenograft aggressive metastatic sub-line of WM164 (Rockland)."	"Rockland:451Lu"	"COSMIC1287706,ACH-001002,CVCL_6357,CCLE_Name:451LU_SKIN"	
	"SIDM00253"	"NB6"	"Cell Line"	"Unknown"			" "		"COSMIC949173,ACH-002284,CVCL_8823,CCLE_Name:NB6_AUTONOMIC_GANGLIA"	
	"SIDM01418"	"PEO23"	"Cell Line"	"Unknown"			" PEO14, PEO23 and TO14 were derived from the same patient. (PMID: 3167863).
PEO14 and PEO23 samples were obtained from ascites, PEO14 prior to therapy and PEO23 following chemotherapy.
TO14 was derived from a solid metastasis in the omentum."		"CVCL_2689"	
	"SIDM01977"	"ICC15"	"Cell Line"	"Unknown"			" "		"ACH-001841,,CCLE_Name:ICC15_BILIARY_TRACT"	
	"SIDM00346"	"LAMA-84"	"Cell Line"	"Suspension"			" LAMA-87 is a subclone of LAMA-84 obtained after subcutaneous transplantation of LAMA-84 cells into estrone-treated nude mice (DSMZ)."	"DSMZ:ACC-168"	"COSMIC907783,ACH-000301,CVCL_0388,CCLE_Name:LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	
	"SIDM00747"	"NCI-H1623"	"Cell Line"	"Semi-Adherent"			" "	"ATCC:CRL-5881"	"COSMIC687798,ACH-000744,CVCL_1481,CCLE_Name:NCIH1623_LUNG"	
	"SIDM00454"	"RH-18"	"Cell Line"	"Adherent"			"The RH-18 cell line was generated from a xenograft derived from a tumor from a previously untreated 2-year-old patient with a perineal RMS assigned as embryonal histology. (PMID: 23882450). "	"DSMZ:ACC-491"	"COSMIC971774,ACH-000689,CVCL_1659,CCLE_Name:RH18_SOFT_TISSUE"	3607778
	"SIDM00739"	"NCI-H1734"	"Cell Line"	"Adherent"			" "	"ATCC:CRL-5891"	"COSMIC722058,ACH-000675,CVCL_1491,CCLE_Name:NCIH1734_LUNG"	
	"SIDM01175"	"SW684"	"Cell Line"	"Adherent"			" "	"ATCC:HTB-91"	"COSMIC909754,ACH-002309,CVCL_1726,CCLE_Name:SW684_SOFT_TISSUE"	
	"SIDM00402"	"RT-112"	"Cell Line"	"Unknown"			" RT112-84 and RT-112 share common ancestry (DSMZ, ECACC)."	"DSMZ:ACC-418"	"COSMIC909704,ACH-000473,CVCL_1670,CCLE_Name:RT112_URINARY_TRACT"	
	"SIDM00263"	"ES5"	"Cell Line"	"Unknown"			" "		"COSMIC684057,ACH-002106,CVCL_1201,CCLE_Name:ES5_BONE"	
	"SIDM01393"	"SNU-216"	"Cell Line"	"Adherent"			" "	"KCLB:00216"	"ACH-000466,CVCL_3946,CCLE_Name:SNU216_STOMACH"	
	"SIDM00589"	"HSC-3"	"Cell Line"	"Unknown"			" "	"JCRB:JCRB0623"	"COSMIC907061,ACH-000778,CVCL_1288,CCLE_Name:HSC3_UPPER_AERODIGESTIVE_TRACT"	
	"SIDM00849"	"A704"	"Cell Line"	"Unknown"			" "	"ATCC:CRL-7911"	"COSMIC910920,ACH-000429,CVCL_1065,CCLE_Name:A704_KIDNEY"	
	"SIDM01634"	"SCMC-RM2-1"	"Cell Line"	"Unknown"	"SIDM01346"	"SIDS01448"	" SCMC-RM2-1 is a sub-clone of SCMC-RM2. (PMID: 23882450)."		"CVCL_A668"	23882450
	"SIDM01653"	"L542"	"Cell Line"	"Suspension"			" L542 is a matched normal line initiated by Epstein Barr virus (EBV) transformation from the same patient as D-542MG."		"ACH-002351,,CCLE_Name:L542_MATCHED_NORMAL_TISSUE"	
	"SIDM00591"	"HO-1-u-1"	"Cell Line"	"Unknown"			" "	"JCRB:JCRB0828"	"COSMIC753561,ACH-002045,CVCL_2784,CCLE_Name:HO1U1_UPPER_AERODIGESTIVE_TRACT"	
	"SIDM01053"	"EFM-192C"	"Cell Line"	"Adherent"			" EFM-192B and EFM-192C were established from the same patient as EFM-192A (DSMZ)."	"DSMZ:ACC-311"	"COSMIC1290799,,CVCL_1814"	
	"SIDM00923"	"Ca-Ski"	"Cell Line"	"Adherent"			" "	"ATCC:CRL-1550"	"COSMIC906824,ACH-001336,CVCL_1100,CCLE_Name:CASKI_CERVIX"	
	"SIDM00737"	"NCI-H1770"	"Cell Line"	"Suspension"			" NCI-BL1770 is a lymphoblastoid line established from the same patient as NCI-H1770 (ATCC)."	"ATCC:CRL-5893"	"COSMIC687804,ACH-001362,CVCL_1493,CCLE_Name:NCIH1770_LUNG"	
	"SIDM00231"	"NCC010"	"Cell Line"	"Unknown"			" "		"COSMIC1509073,ACH-002167,CVCL_X505,CCLE_Name:NCC010_KIDNEY"	
	"SIDM01312"	"HCM-SANG-0309-C15"	"Organoid"	"Unknown"			" "			
	"SIDM00880"	"HCC1428-BL"	"Cell Line"	"Suspension"			" HCC1428-BL is a B-lymphoblastoid cell line initiated by Epstein Barr virus (EBV) transformation of peripheral blood lymphocytes obtained from the same patient as the breast carcinoma cell line HCC1428 (ATCC)."	"ATCC:CRL-2328"	"CVCL_1253"	
	"SIDM01520"	"BICR16"	"Cell Line"	"Adherent"			" "	"ECACC:6031001"	"ACH-000503,CVCL_2308,CCLE_Name:BICR16_UPPER_AERODIGESTIVE_TRACT"	
	"SIDM01237"	"C3A"	"Cell Line"	"Adherent"	"SIDM00904"	"SIDS00090"	" C3A is clonal derivative of Hep-G2 that was selected for strong contact inhibition of growth, high albumin production, high production of alpha fetoprotein (AFP) and ability to grow in glucose deficient medium (ATCC)."	"ATCC:CRL-10741"	"COSMIC910850,ACH-001021,CVCL_1098,CCLE_Name:C3A_LIVER"	
	"SIDM00974"	"WM35"	"Cell Line"	"Adherent"			" "	"ATCC:CRL-2807"	"COSMIC1299080,ACH-002207,CVCL_0580,CCLE_Name:WM35_SKIN"	
	"SIDM00440"	"ML-1"	"Cell Line"	"Suspension"			" The ML-1, ML-2, and ML-3 lines were all established from the peripheral blood samples obtained from the same patient with acute myeloid leukemia (PMID: 3458526)."	"ECACC:88113007"	"CVCL_0436"	
	"SIDM00578"	"NB1"	"Cell Line"	"Unknown"			" "	"JCRB:JCRB0621"	"COSMIC949179,ACH-000804,CVCL_1440,CCLE_Name:NB1_AUTONOMIC_GANGLIA"	
	"SIDM00556"	"KP-N-YN"	"Cell Line"	"Unknown"			" "	"JCRB:IFO50431"	"COSMIC907314,ACH-000227,CVCL_1341,CCLE_Name:KPNYN_AUTONOMIC_GANGLIA"	
	"SIDM01289"	"HCM-SANG-0300-C15"	"Organoid"	"Unknown"			" "			
	"SIDM00823"	"COLO-201"	"Cell Line"	"Semi-Adherent"			" COLO-201, COLO-205 and COLO-206F were all established from the ascites fluid of a patient with adenocarcinoma of the colon.
COLO-197 is a lymphoid line established from the original biopsy of the same patient.
COLO-200 is a lymphoid line establisted from the peripheral blood of the same patient (PMID: 565251)."	"ECACC:87091201"	"COSMIC906819,ACH-000253,CVCL_1987,CCLE_Name:COLO201_LARGE_INTESTINE"	565251
	"SIDM01582"	"KE-39"	"Cell Line"	"Adherent"			" "	"RIKEN:RCB1434 "	"ACH-000507,CVCL_3385,CCLE_Name:KE39_STOMACH"	
	"SIDM00182"	"LB771-HNC"	"Cell Line"	"Unknown"			" LB771-PBL is a matched normal line initiated by Epstein Barr virus (EBV) transformation from the same patient as LB771-HNC."		"COSMIC753583,ACH-002265,CVCL_1369,CCLE_Name:LB771HNC_UPPER_AERODIGESTIVE_TRACT"	
	"SIDM00412"	"WSU-NHL"	"Cell Line"	"Suspension"			" "	"DSMZ:ACC-58"	"COSMIC909785,ACH-001709,CVCL_1793,CCLE_Name:WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	
	"SIDM00432"	"MOLT-14"	"Cell Line"	"Suspension"			" MOLT-13 and MOLT-14 are simultaneous sister cell lines derived from the same patient (DSMZ)."	"DSMZ:ACC-437"	"CVCL_1423"	
	"SIDM00914"	"HMCB"	"Cell Line"	"Adherent"			" HCMB and RPMI-7932 were both derived from the same patient (ATCC).
CHL-1 is a dervivative of RPMI-7932 (ATCC).

COLO-699N (COLO-699) and COLO-738 were found to be indistinguishable from RPMI-7932 by STR profiling. All three cell lines were received from the same depositor (ECACC)."	"ATCC:CRL-9607"	"ACH-000931,CVCL_3317,CCLE_Name:HMCB_SKIN"	
	"SIDM01963"	"HCM-SANG-0527-C18"	"Organoid"	"Unknown"			" "			
	"SIDM00488"	"CaR-1"	"Cell Line"	"Adherent"			" "	"JCRB:JCRB0207"	"COSMIC924108,ACH-002345,CVCL_1116,CCLE_Name:CAR1_LARGE_INTESTINE"	
	"SIDM01340"	"SLR23"	"Cell Line"	"Unknown"			" "		"ACH-000246,CVCL_V609,CCLE_Name:SLR23_KIDNEY"	
	"SIDM01632"	"KLM-1"	"Cell Line"	"Adherent"	"SIDM01321"	"SIDS01436"	" KLM-1 and RPK-1 were both derived from the PK-1 cell line. 
KLM-1 was generated through injection of PK-1 and tumour formation in nude mice. (RIKEN, PMID: 8872523).
RPK-1 is a gemcitabine resistant sublcone of PK-1. (PMID: 22490663)"	"RIKEN:RCB2138"	"ACH-001101,CVCL_5146"	8872523
	"SIDM00595"	"HEC-1-A"	"Cell Line"	"Adherent"			" HEC-1-A was derived from the same patient as HEC-1 (JCRB).
HEC-1-B is a substrain of HEC-1-A (ATCC)."	"ATCC:HTB-112"	"ACH-000954,CVCL_0293,CCLE_Name:HEC1A_ENDOMETRIUM"	
	"SIDM00418"	"TT2609-C02"	"Cell Line"	"Adherent"			" "	"DSMZ:ACC-510"	"COSMIC1240223,ACH-000716,CVCL_2218,CCLE_Name:TT2609C02_THYROID"	
	"SIDM01535"	"CHLA-57"	"Cell Line"	"Unknown"			" "	"Childhood Cancer Repository:CHLA-57"	"ACH-001033,CVCL_0B49,CCLE_Name:CHLA57_BONE"	
	"SIDM01579"	"KKU-100"	"Cell Line"	"Adherent"			" "	"JCRB:JCRB1568"	"ACH-001536,CVCL_3996,CCLE_Name:KKU100_BILIARY_TRACT"	
	"SIDM00569"	"NY"	"Cell Line"	"Unknown"			" "	"JCRB:JCRB0614"	"COSMIC910849,ACH-002178,CVCL_1613,CCLE_Name:NY_BONE"	
	"SIDM01326"	"PaCaDD-188"	"Cell Line"	"Adherent"			"https://www.austinpublishinggroup.com/cancer-clinical-research/fulltext/cancer-v2-id1055.php "	"DSMZ:ACC 753"	"ACH-001382,CVCL_M469,CCLE_Name:PACADD188_PANCREAS"	
	"SIDM00872"	"HCC1954"	"Cell Line"	"Adherent"			" HCC1954-BL is a B-lymphoblastoid cell line initiated from peripheral blood lymphocytes obtained from the same patient as HCC1954 (ATCC)."	"ATCC:CRL-2338"	"COSMIC749709,ACH-000859,CVCL_1259,CCLE_Name:HCC1954_BREAST"	
	"SIDM00199"	"CS1"	"Cell Line"	"Adherent"			" "	"Unknown:Unknown"	"COSMIC1290795,ACH-002099,CVCL_T023,CCLE_Name:CS1_BONE"	
	"SIDM00093"	"ONCO-DG-1"	"Cell Line"	"Unknown"			" ONCO-DG-1 is cross-contaminated with cell line OVCAR-3 (DSMZ)."	"DSMZ:ACC-507"	"COSMIC1298360,ACH-000013,CVCL_1882,CCLE_Name:ONCODG1_OVARY"	
	"SIDM01821"	"D-556MED"	"Cell Line"	"Suspension"			" "		"ACH-001055,,CCLE_Name:D556_CENTRAL_NERVOUS_SYSTEM"	9283596
	"SIDM00777"	"NCI-H508"	"Cell Line"	"Suspension"			" "	"ATCC:CCL-253"	"COSMIC908442,ACH-000360,CVCL_1564,CCLE_Name:NCIH508_LARGE_INTESTINE"	
	"SIDM01487"	"COG-AR-382"	"Cell Line"	"Adherent"			"http://cancerres.aacrjournals.org/content/68/9_Supplement/3743 COG-AR-359 and COG-AR-382 are derived from the same patient. (http://cancerres.aacrjournals.org/content/68/9_Supplement/3743)."		"CVCL_RS26"	
	"SIDM00867"	"DBTRG-05MG"	"Cell Line"	"Adherent"			" "	"ATCC:CRL-2020"	"COSMIC906835,ACH-000863,CVCL_1169,CCLE_Name:DBTRG05MG_CENTRAL_NERVOUS_SYSTEM"	
	"SIDM01978"	"ICC8"	"Cell Line"	"Unknown"			" "		"ACH-001848,,CCLE_Name:ICC8_BILIARY_TRACT"	
	"SIDM00806"	"HOS"	"Cell Line"	"Adherent"			" HOS and 143B originated from the same patient: 143B is TK- and originated indirectly from HOS which is TK+ (ECACC & PMID: 20544518). 
HTK- and 143B have a common STR profile and are thought to be the same cell line (ECACC)."	"ATCC:CRL-1543"	"COSMIC907060,ACH-000613,CVCL_0312,CCLE_Name:HOS_BONE"	
	"SIDM01773"	"REC-1"	"Cell Line"	"Suspension"			" "	"ATCC:CRL-3004"	"ACH-000068,,CCLE_Name:REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	
	"SIDM00561"	"MLMA"	"Cell Line"	"Unknown"			" "	"JCRB:JCRB0146"	"COSMIC908142,ACH-002274,CVCL_1419,CCLE_Name:MLMA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	
	"SIDM00203"	"EW-11"	"Cell Line"	"Unknown"			" "		"COSMIC684062,ACH-002111,CVCL_1209,CCLE_Name:EW11_BONE"	
	"SIDM01903"	"Mero-41"	"Cell Line"	"Adherent"			"Note made of patient's history of exposure to asbestos (ECACC). "	"ECACC:09100103"	"ACH-001557,,CCLE_Name:MERO41_PLEURA"	2474517
	"SIDM00145"	"MOLT-4"	"Cell Line"	"Suspension"			" MOLT-4 was derived from the same patient as MOLT-3 (ATCC)."	"NCI:MOLT-4"	"COSMIC905958,ACH-001127,CVCL_0013,CCLE_Name:MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	
	"SIDM01781"	"SNU-620"	"Cell Line"	"Suspension"			" "	"KCLB:00620"	"ACH-000325,,CCLE_Name:SNU620_STOMACH"	
	"SIDM01717"	"COR-L51"	"Cell Line"	"Suspension"			" "	"ECACC:92031916"	"ACH-001047,,CCLE_Name:CORL51_LUNG"	
	"SIDM00303"	"JHOS-4"	"Cell Line"	"Adherent"			" "	"RIKEN:RCB1678"	"COSMIC1480359,ACH-000584,CVCL_4649,CCLE_Name:JHOS4_OVARY"	
	"SIDM00059"	"IOSE-523(-)"	"Cell Line"	"Unknown"			" "		"COSMIC1479993,,CVCL_E234"	
	"SIDM01549"	"C80"	"Cell Line"	"Adherent"			" "	"ECACC:12022904"	"ACH-001459,CVCL_5249,CCLE_Name:C80_LARGE_INTESTINE"	
	"SIDM01255"	"GA-10 (Clone 20)"	"Cell Line"	"Suspension"	"SIDM00854"	"SIDS00125"	" GA-10-Clone-4 and GA-10-Clone-20 are subclones of the GA 10 cell line derived by culturing the parental line on semi solid medium conditioned by a feeder layer (ATCC)."	"ATCC:CRL-2394"	"CVCL_1223"	
	"SIDM01174"	"SW756"	"Cell Line"	"Adherent"			" "	"ATCC:CRL-10302"	"COSMIC724839,ACH-001402,CVCL_1727,CCLE_Name:SW756_CERVIX"	
	"SIDM01783"	"Mero-14"	"Cell Line"	"Adherent"			"Patient has a history of asbestos exposure. "	"ECACC:09100101"	"ACH-001555,,CCLE_Name:MERO14_PLEURA"	
	"SIDM00789"	"HCT-15"	"Cell Line"	"Adherent"			" DLD-1, HCT-15, HCT-8 and HRT-18 have been shown to have a common genetic origin (ECACC & PMID: 9809040)."	"NCI:HCT-15"	"COSMIC905937,ACH-000997,CVCL_0292,CCLE_Name:HCT15_LARGE_INTESTINE"	
	"SIDM01382"	"MM426"	"Cell Line"	"Adherent"			" "	"CellBank Australia:CBA-1352"	"ACH-001570,CVCL_2609,CCLE_Name:MM426_SKIN"	
	"SIDM00961"	"CADO-ES1"	"Cell Line"	"Adherent"			" "	"DSMZ:ACC-255"	"COSMIC753539,ACH-000210,CVCL_1103,CCLE_Name:CADOES1_BONE"	
	"SIDM00200"	"EW-12"	"Cell Line"	"Unknown"			" "		"COSMIC949162,ACH-002112,CVCL_1210,CCLE_Name:EW12_BONE"	
	"SIDM01002"	"EFM-192A"	"Cell Line"	"Adherent"			" EFM-192B and EFM-192C were established from the same patient as EFM-192A (DSMZ)."	"DSMZ:ACC-258"	"COSMIC1290798,ACH-000117,CVCL_1812,CCLE_Name:EFM192A_BREAST"	
	"SIDM00082"	"SK-MEL-2"	"Cell Line"	"Adherent"			" "	"NCI:SK-MEL-2"	"COSMIC905955,ACH-001190,CVCL_0069,CCLE_Name:SKMEL2_SKIN"	
	"SIDM01657"	"KMS-28-BM"	"Cell Line"	"Suspension"			" KMS-28-PE and KMS-28-BM were both derived independent samples, pleural effusion and bone marrow, from the same patient (PMID: 11886382)."	"JCRB:JCRB1192"	"ACH-000419,,CCLE_Name:KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	
	"SIDM00562"	"MRK-nu-1"	"Cell Line"	"Unknown"			" "	"JCRB:JCRB0628"	"COSMIC908151,ACH-002163,CVCL_1428,CCLE_Name:MRKNU1_BREAST"	
	"SIDM01451"	"SNU-324"	"Cell Line"	"Semi-Adherent"			" "	"KCLB:00324"	"ACH-000933,CVCL_5051,CCLE_Name:SNU324_PANCREAS"	12037578
	"SIDM00989"	"BFTC-905"	"Cell Line"	"Adherent"			" "	"DSMZ:ACC-361"	"COSMIC910926,ACH-000802,CVCL_1083,CCLE_Name:BFTC905_URINARY_TRACT"	
	"SIDM01315"	"1273-99"	"Cell Line"	"Unknown"			" "		"ACH-001270,CVCL_N588,CCLE_Name:127399_SOFT_TISSUE"	
