NCIT	treatment_name	description	treatment_type	drug_name	NCIT_label
http://purl.obolibrary.org/obo/NCIT_C91725	Adavosertib	"A small molecule inhibitor of the tyrosine kinase WEE1 with potential antineoplastic sensitizing activity. Adavosertib selectively targets and inhibits WEE1, a tyrosine kinase that phosphorylates cyclin-dependent kinase 1 (CDK1, CDC2) to inactivate the CDC2/cyclin B complex. Inhibition of WEE1 activity prevents the phosphorylation of CDC2 and impairs the G2 DNA damage checkpoint. This may lead to apoptosis upon treatment with DNA damaging chemotherapeutic agents. Unlike normal cells, most p53 deficient or mutated human cancers lack the G1 checkpoint as p53 is the key regulator of the G1 checkpoint and these cells rely on the G2 checkpoint for DNA repair to damaged cells. Annulment of the G2 checkpoint may therefore make p53 deficient tumor cells more vulnerable to antineoplastic agents and enhance their cytotoxic effect."	Targeted therapy	Adavosertib	Adavosertib
http://purl.obolibrary.org/obo/NCIT_C101642	Adjuvant Radiotherapy	Radiation therapy that is administered to augment or stimulate other treatment modalities or to minimize or prevent disease recurrence.	Radiation therapy	Adjuvant Radiotherapy	Adjuvant Radiotherapy
http://purl.obolibrary.org/obo/NCIT_C159982	Ado-trastuzumab Emtansine Regimen	A chemo/immunotherapy regimen consisting of ado-trastuzumab emtansine that may be used in the treatment of HER2-positive metastatic breast cancer.	Chemotherapy	Ado-trastuzumab Emtansine Regimen	Ado-trastuzumab Emtansine Regimen
http://purl.obolibrary.org/obo/NCIT_C1326	Doxorubicin Hydrochloride	"The hydrochloride salt of doxorubicin, an anthracycline antibiotic with antineoplastic activity. Doxorubicin, isolated from the bacterium Streptomyces peucetius var. caesius, is the hydroxylated congener of daunorubicin. Doxorubicin intercalates between base pairs in the DNA helix, thereby preventing DNA replication and ultimately inhibiting protein synthesis. Additionally, doxorubicin inhibits topoisomerase II which results in an increased and stabilized cleavable enzyme-DNA linked complex during DNA replication and subsequently prevents the ligation of the nucleotide strand after double-strand breakage. Doxorubicin also forms oxygen free radicals resulting in cytotoxicity secondary to lipid peroxidation of cell membrane lipids; the formation of oxygen free radicals also contributes to the toxicity of the anthracycline antibiotics, namely the cardiac and cutaneous vascular effects."	Chemotherapy	Doxorubicin Hydrochloride	Adriamycine
http://purl.obolibrary.org/obo/NCIT_C90581	Akt Inhibitor MK2206	"An orally bioavailable allosteric inhibitor of the serine/threonine protein kinase Akt (protein kinase B) with potential antineoplastic activity. Akt inhibitor MK2206 binds to and inhibits the activity of Akt in a non-ATP competitive manner, which may result in the inhibition of the PI3K/Akt signaling pathway and tumor cell proliferation and the induction of tumor cell apoptosis. Activation of the PI3K/Akt signaling pathway is frequently associated with tumorigenesis and dysregulated PI3K/Akt signaling may contribute to tumor resistance to a variety of antineoplastic agents."	Targeted therapy	Akt Inhibitor MK2206	Akt Inhibitor MK2206
http://purl.obolibrary.org/obo/NCIT_C71717	Alisertib	"A second-generation, orally bioavailable, highly selective small molecule inhibitor of the serine/threonine protein kinase Aurora A kinase with potential antineoplastic activity. Alisertib binds to and inhibits Aurora A kinase, which may result in disruption of the assembly of the mitotic spindle apparatus, disruption of chromosome segregation, and inhibition of cell proliferation. Aurora A kinase localizes to the spindle poles and to spindle microtubules during mitosis, and is thought to regulate spindle assembly. Aberrant expression of Aurora kinases occurs in a wide variety of cancers, including colon and breast cancers."	Targeted therapy	Alisertib	Alisertib
http://purl.obolibrary.org/obo/NCIT_C38142	Alvespimycin	"An analogue of the antineoplastic benzoquinone antibiotic geldanamycin. Alvespimycin binds to HSP90, a chaperone protein that aids in the assembly, maturation and folding of proteins. Subsequently, the function of Hsp90 is inhibited, leading to the degradation and depletion of its client proteins such as kinases and transcription factors involved with cell cycle regulation and signal transduction."	Targeted therapy	Alvespimycin	Alvespimycin
http://purl.obolibrary.org/obo/NCIT_C104745	Amcasertib	"An orally available cancer cell stemness kinase inhibitor with potential antineoplastic activity. Even though the exact target has not been fully elucidated, amcasertib targets and inhibits one or more pathways involved in cancer stem cell survival. As a result, cancer stem cell (CSC) growth as well as heterogeneous cancer cell growth is inhibited. CSCs, self-replicating cells able to differentiate into heterogeneous cancer cells, appear to be responsible for both tumor relapse and metastasis."	Targeted therapy	Amcasertib	Amcasertib
http://purl.obolibrary.org/obo/NCIT_C1607	Anastrozole	"A nonsteroidal inhibitor of estrogen synthesis that resembles paclitaxel in chemical structure.  As a third-generation aromatase inhibitor, anastrozole selectively binds to and reversibly inhibits aromatase, a cytochrome P-450 enzyme complex found in many tissues including those of the premenopausal ovary, liver, and breast; aromatase catalyzes the aromatization of androstenedione and testosterone into estrone and estradiol, the final step in estrogen biosynthesis.  In estrogen-dependent breast cancers, ananstrozole may inhibit tumor growth. (NCI04)"	Hormone therapy	Anastrozole	Anastrozole
http://purl.obolibrary.org/obo/NCIT_C91383	Anti-GD2 Monoclonal Antibody MORAb-028	"A human IgM monoclonal antibody directed against disialoganglioside GD2 with potential immunomodulating activity. Upon administration, anti-GD2 monoclonal antibody MORAb-028 may stimulate the immune system to exert a complement-mediated cytotoxic response against GD2-expressing tumor cells. The glycosphingolipid GD2 is a tumor associated antigen (TAA) overexpressed on the surface of many cancer cells."	Targeted therapy	Anti-GD2 Monoclonal Antibody MORAb-028	Anti-GD2 Monoclonal Antibody MORAb-028
http://purl.obolibrary.org/obo/NCIT_C81939	Anti-HGF Monoclonal Antibody TAK-701	"A humanized monoclonal antibody directed against human hepatocyte growth factor (HGF) with potential antineoplastic activity. Anti-HGF monoclonal antibody TAK-701 binds to the soluble ligand HGF, preventing HGF binding to and activation of the HGF receptor c-Met and so the activation of the c-Met signaling pathway; this may result in the induction of cell death in c-Met-expressing tumor cells. c-Met, a receptor tyrosine kinase overexpressed or mutated in a variety of tumor cell types, plays a key role in cancer cell growth, survival, angiogenesis, invasion, and metastasis."	Targeted therapy	Anti-HGF Monoclonal Antibody TAK-701	Anti-HGF Monoclonal Antibody TAK-701
http://purl.obolibrary.org/obo/NCIT_C97039	Anti-PD-1 Fusion Protein AMP-224	"A recombinant B7-DC Fc-fusion protein composed of the extracellular domain of the PD-1 ligand programmed cell death ligand 2 (PD-L2, B7-DC) and the Fc region of human immunoglobulin (Ig) G1, with potential immune checkpoint inhibitory and antineoplastic activities. Anti-PD-1 fusion protein AMP-224 specifically binds to PD-1 on chronically stimulated T-cells and reduces their proliferation. This may restore immune function and may result in the activation of cytotoxic T-cells and cell-mediated immune responses against tumor cells. PD-1, a transmembrane protein of Ig superfamily and inhibitor receptor expressed on activated T-cells, negatively regulates T-cell activation and effector function when activated by its ligands, and plays an important role in tumor evasion from host immunity. AMP-224 does not bind normal activated T-cells."	Targeted therapy	Anti-PD-1 Fusion Protein AMP-224	Anti-PD-1 Fusion Protein AMP-224
http://purl.obolibrary.org/obo/NCIT_C78486	Anti-PLGF Monoclonal Antibody TB-403	"A humanized immunoglobulin (Ig) G1 monoclonal antibody directed against the placenta growth factor (PGF), with potential anti-angiogenic and antineoplastic activities. Anti-PGF monoclonal antibody TB-403 binds to both PGF-1 and -2, thereby inhibiting the binding of PGF-1 and -2 to the vascular endothelial growth factor receptor-1 (VEGFR-1) and subsequent VEGFR-1 phosphorylation. This may result in the inhibition of tumor angiogenesis and tumor cell proliferation. PGF, a member of the VEGF sub-family and a key molecule in angiogenesis and vasculogenesis, is upregulated in many cancers."	Targeted therapy	Anti-PLGF Monoclonal Antibody TB-403	Anti-PLGF Monoclonal Antibody TB-403
http://purl.obolibrary.org/obo/NCIT_C1005	Arsenic Trioxide	A small-molecule arsenic compound with antineoplastic activity.  The mechanism of action of arsenic trioxide is not completely understood. This agent causes damage to or degradation of the promyelocytic leukemia protein/retinoic acid receptor-alpha (PML/RARa) fusion protein; induces apoptosis in acute promyelocytic leukemia (APL) cells and in many other tumor cell types; promotes cell differentiation and suppresses cell proliferation in many different tumor cell types; and is pro-angiogenic. (NCI04)	Chemotherapy	Arsenic Trioxide	Arsenic Trioxide
http://purl.obolibrary.org/obo/NCIT_C106250	Atezolizumab	"A humanized, Fc optimized, monoclonal antibody directed against the protein ligand PD-L1 (programmed cell death-1 ligand 1; CD274), with potential immune checkpoint inhibitory and antineoplastic activities. Atezolizumab binds to PD-L1, blocking its binding to and activation of its receptor programmed death 1 (PD-1; PDCD1) expressed on activated T-cells, which may enhance the T-cell-mediated immune response to neoplasms and reverse T-cell inactivation. In addition, by binding to PD-L1, atezolizumab also prevents binding of this ligand to B7.1 (CD80) expressed on activated T cells, which further enhances the T-cell-mediated immune response. PD-L1 is overexpressed on many human cancer cell types and on various tumor-infiltrating immune cells. PD-L1 binding to PD-1 on T-cells suppresses the immune system and results in increased immune evasion. PD-1, a transmembrane protein, is a negative regulator of the immune system that limits the expansion and survival of CD8+ T cells. The Fc region of atezolizumab is modified in such a way that it does not induce either antibody-dependent cytotoxicity (ADCC) or complement-dependent cytotoxicity (CDC)."	Targeted therapy	Atezolizumab	Atezolizumab
http://purl.obolibrary.org/obo/NCIT_C148241	Autologous Dendritic Cells Transduced with Wild-type p53 Adenovirus Vaccine	"A cancer vaccine consisting of autologous dendritic cells (DCs) transduced with a recombinant replication-defective adenoviral (Ad) vector encoding the full-length wild-type (wt) cancer tumor antigen p53 protein (TP53; p53), with potential immunomodulating activity. Intradermal vaccination with the autologous DCs transduced with wt p53 Ad vaccine may stimulate the host immune system to mount a cytotoxic T-lymphocyte (CTL) response against tumor cells overexpressing wt and mutant forms of p53, resulting in tumor cell lysis. p53, a tumor suppressor gene, is overexpressed and/or mutated in many tumor cells, resulting in the loss of apoptosis regulation and abnormal cell proliferation."	Immunotherapy	Autologous Dendritic Cells Transduced with Wild-type p53 Adenovirus Vaccine	Autologous Dendritic Cells Transduced with Wild-type p53 Adenovirus Vaccine
http://purl.obolibrary.org/obo/NCIT_C16039	Autologous Hematopoietic Stem Cell Transplantation	Stem cell transfer or transplantation in which the patient is their own donor.	Stem Cell or Bone Marrow Transplantation	Autologous Hematopoietic Stem Cell Transplantation	Autologous Hematopoietic Stem Cell Transplantation
http://purl.obolibrary.org/obo/NCIT_C159998	Bevacizumab Regimen	"An immunotherapy regimen consisting of bevacizumab that may be used in the treatment of soft tissue and AIDS-related Kaposi sarcomas; anaplastic gliomas and glioblastomas; adult intracranial and spinal ependymomas (excluding subependymomas and myxopapillary ependymomas); and kidney, cervical, endometrial, ovarian/fallopian tube/primary peritoneal and non-small cell lung cancers (NSCLCs)"	Chemotherapy	Bevacizumab Regimen	Avastin
http://purl.obolibrary.org/obo/NCIT_C116870	Avelumab	"A human immunoglobulin G1 (IgG1) monoclonal antibody directed against the human immunosuppressive ligand programmed death-ligand 1 (PD-L1) protein, with potential immune checkpoint inhibitory and antineoplastic activities. Upon administration, avelumab binds to PD-L1 and prevents the interaction of PD-L1 with its receptor programmed cell death protein 1 (PD-1). This inhibits the activation of PD-1 and its downstream signaling pathways. This may restore immune function through the activation of cytotoxic T-lymphocytes (CTLs) targeted to PD-L1-overexpressing tumor cells. In addition, avelumab induces an antibody-dependent cellular cytotoxic (ADCC) response against PD-L1-expressing tumor cells. PD-1, a cell surface receptor belonging to the immunoglobulin superfamily expressed on T-cells, negatively regulates T-cell activation and effector function when activated by its ligand, and plays an important role in tumor evasion from host immunity. PD-L1, a transmembrane protein, is overexpressed on a variety of tumor cell types and is associated with poor prognosis."	Targeted therapy	Avelumab	Avelumab
http://purl.obolibrary.org/obo/NCIT_C288	Azacitidine	"A pyrimidine nucleoside analogue of cytidine with antineoplastic activity. Azacitidine is incorporated into DNA, where it reversibly inhibits DNA methyltransferase, thereby blocking DNA methylation.  Hypomethylation of DNA by azacitidine may activate tumor suppressor genes silenced by hypermethylation, resulting in an antitumor effect. This agent is also incorporated into RNA, thereby disrupting normal RNA function and impairing tRNA cytosine-5-methyltransferase activity. (NCI04)"	Chemotherapy	Azacitidine	Azacitidine
http://purl.obolibrary.org/obo/NCIT_C298	BCG Vaccine	"A vaccine containing bacillus Calmette-Guerin (BCG), an attenuated strain of Mycobacterium bovis, with non-specific immunoadjuvant and immunotherapeutic activities. Although the mechanism of its anti-tumor activity is unclear, immunization with BCG vaccine likely activates a Th1 cytokine response that includes the induction of interferon. Vaccination with BCG vaccine may be immunoprotective against infection with Mycobacterium tuberculosis."	Immunotherapy	BCG Vaccine	BCG Vaccine
http://purl.obolibrary.org/obo/NCIT_C88302	Infigratinib	"An orally bioavailable pan inhibitor of human fibroblast growth factor receptors (FGFRs) with potential antiangiogenic and antineoplastic activities. Infigratinib selectively binds to and inhibits the activities of FGFRs, which may result in the inhibition of tumor angiogenesis and tumor cell proliferation, and the induction of tumor cell death. FGFRs are a family of receptor tyrosine kinases which may be upregulated in various tumor cell types and may be involved in tumor cell differentiation and proliferation, tumor angiogenesis, and tumor cell survival."	Targeted therapy	Infigratinib	BGJ398
http://purl.obolibrary.org/obo/NCIT_C90565	Buparlisib	"An orally bioavailable specific oral inhibitor of the pan-class I phosphatidylinositol 3-kinase (PI3K) family of lipid kinases with potential antineoplastic activity. Buparlisib specifically inhibits class I PI3K in the PI3K/AKT kinase (or protein kinase B) signaling pathway in an ATP-competitive manner, thereby inhibiting the production of the secondary messenger phosphatidylinositol-3,4,5-trisphosphate and activation of the PI3K signaling pathway. This may result in inhibition of tumor cell growth and survival in susceptible tumor cell populations. Activation of the PI3K signaling pathway is frequently associated with tumorigenesis. Dysregulated PI3K signaling may contribute to tumor resistance to a variety of antineoplastic agents."	Targeted therapy	Buparlisib	BKM120
http://purl.obolibrary.org/obo/NCIT_C94214	Alpelisib	"An orally bioavailable phosphatidylinositol 3-kinase (PI3K) inhibitor with potential antineoplastic activity. Alpelisib specifically inhibits PI3K in the PI3K/AKT kinase (or protein kinase B) signaling pathway, thereby inhibiting the activation of the PI3K signaling pathway. This may result in inhibition of tumor cell growth and survival in susceptible tumor cell populations. Activation of the PI3K signaling pathway is frequently associated with tumorigenesis. Dysregulated PI3K signaling may contribute to tumor resistance to a variety of antineoplastic agents."	Targeted therapy	Alpelisib	BYL719
http://purl.obolibrary.org/obo/NCIT_C73261	Bendamustine	"A bifunctional mechlorethamine derivative with alkylating and antimetabolite activities. Although the exact mechanism of action of bendamustine is unknown, this agent appears to alkylate and crosslink macromolecules, resulting in DNA, RNA and protein synthesis inhibition, and eventually the induction of apoptosis."	Chemotherapy	Bendamustine	Bendamustine
http://purl.obolibrary.org/obo/NCIT_C2039	Bevacizumab	"A recombinant humanized monoclonal antibody directed against the vascular endothelial growth factor (VEGF), a pro-angiogenic cytokine.  Bevacizumab binds to VEGF and inhibits VEGF receptor binding, thereby preventing the growth and maintenance of tumor blood vessels."	Targeted therapy	Bevacizumab	Bevacizumab
http://purl.obolibrary.org/obo/NCIT_C136258	Bevacizumab/Irinotecan Regimen	A chemoimmunotherapy regimen consisting of irinotecan and bevacizumab that is used for the treatment of colon cancer.	Chemotherapy	Bevacizumab/Irinotecan Regimen	Bevacizumab/Irinotecan Regimen
http://purl.obolibrary.org/obo/NCIT_C1599	Bicalutamide	"A synthetic, nonsteroidal antiandrogen.  Bicalutamide competitively binds to cytosolic androgen receptors in target tissues, thereby inhibiting the receptor binding of androgens. This agent does not bind to most mutated forms of androgen receptors. (NCI04)"	Hormone therapy	Bicalutamide	Bicalutamide
http://purl.obolibrary.org/obo/NCIT_C154330	Biochemotherapy	A drug treatment regime that combines chemotherapy drugs with biological or immunological agents.	Chemotherapy	Biochemotherapy	Biochemotherapy
http://purl.obolibrary.org/obo/NCIT_C15189	Biopsy	"The removal of tissue specimens or fluid from the living body for microscopic examination, performed to establish a diagnosis."	Surgery	Biopsy	Biopsy
http://purl.obolibrary.org/obo/NCIT_C88295	Birinapant	"A synthetic small molecule that is both a peptidomimetic of second mitochondrial-derived activator of caspases (SMAC) and inhibitor of IAP (Inhibitor of Apoptosis Protein) family proteins, with potential antineoplastic activity. As a SMAC mimetic and IAP antagonist, birinapant selectively binds to and inhibits the activity of IAPs, such as X chromosome-linked IAP (XIAP) and cellular IAPs 1 (cIAP1) and 2 (cIAP2), with a greater effect on cIAP1 than cIAP2. Since IAPs shield cancer cells from the apoptosis process, this agent may restore and promote the induction of apoptosis through apoptotic signaling pathways in cancer cells and inactivate the nuclear factor-kappa B (NF-kB)-mediated survival pathway. IAPs are overexpressed by many cancer cell types. They are able to suppress apoptosis by binding to, via their baculoviral lAP repeat (BIR) domains, and inhibiting active caspases-3, -7 and -9. IAP overexpression promotes both cancer cell survival and chemotherapy resistance."	Targeted therapy	Birinapant	Birinapant
http://purl.obolibrary.org/obo/NCIT_C313	Bleomycin	"A mixture of glycopeptide antineoplastic antibiotics isolated from the bacterium Streptomyces verticillus. Bleomycin forms complexes with iron that reduce molecular oxygen to superoxide and hydroxyl radicals which cause single- and double-stranded breaks in DNA; these reactive oxygen species also induce lipid peroxidation, carbohydrate oxidation, and alterations in prostaglandin synthesis and degradation."	Chemotherapy	Bleomycin	Bleomycin
http://purl.obolibrary.org/obo/NCIT_C1851	Bortezomib	"A dipeptide boronic acid analogue with antineoplastic activity. Bortezomib reversibly inhibits the 26S proteasome, a large protease complex that degrades ubiquinated proteins. By blocking the targeted proteolysis normally performed by the proteasome, bortezomib disrupts various cell signaling pathways, leading to cell cycle arrest, apoptosis, and inhibition of angiogenesis. Specifically, the agent inhibits nuclear factor (NF)-kappaB, a protein that is constitutively activated in some cancers, thereby interfering with NF-kappaB-mediated cell survival, tumor growth, and angiogenesis. In vivo, bortezomib delays tumor growth and enhances the cytotoxic effects of radiation and chemotherapy."	Targeted therapy	Bortezomib	Bortezomib
http://purl.obolibrary.org/obo/NCIT_C15195	Brachytherapy	"A type of radiation therapy in which radioactive material is placed inside the body, into a tumor or body cavity."	Radiation therapy	Brachytherapy	Brachytherapy
http://purl.obolibrary.org/obo/NCIT_C64761	CDK Inhibitor AT7519	"An orally bioavailable small molecule with potential antineoplastic activity. AT7519M selectively binds to and inhibits cyclin dependent kinases (CDKs), which may result in cell cycle arrest, induction of apoptosis, and inhibition of tumor cell proliferation. CDKs are serine/threonine kinases involved in regulation of the cell cycle and may be overexpressed in some types of cancer cells."	Targeted therapy	CDK Inhibitor AT7519	CDK Inhibitor AT7519
http://purl.obolibrary.org/obo/NCIT_C91080	CENP-E Inhibitor GSK-923295A	"A small-molecule inhibitor of the mitotic kinesin centromere-associated protein E (CENP-E), with potential antineoplastic activity. Upon administration, GSK-923295A binds to and inhibits CENP-E, thereby preventing cell division, inducing cell cycle arrest, and ultimately leading to an inhibition of cell proliferation. CENP-E, a kinetochore-associated mitotic kinesin, plays an essential role in chromosome movement during mitosis and regulates cell-cycle transition from metaphase to anaphase."	Targeted therapy	CENP-E Inhibitor GSK-923295A	CENP-E Inhibitor GSK-923295A
http://purl.obolibrary.org/obo/NCIT_C60816	Polyamine Analogue PG11047	"A second generation polyamine analogue, synthesized through the restriction of molecular conformations of parent polyamine compounds, with potential antineoplastic activity. Polyamine analogue PG11047 may displace endogenous polyamines from DNA binding sites, thereby interfering with cell cycle processes dependent upon polyamine binding and function, and resulting in cell-cycle arrest, induction of apoptosis, depletion of polyamines, and interference with gene and ligand-receptor activities involved with cell growth. This agent may exhibit decreased toxicity and enhanced cytotoxicity profiles compared to first-generation polyamine compounds. In tumor cells, there is an increase dependence on polyamines as well as a dysregulated polyamine metabolic pathway resulting in abnormal or sustained tumor growth."	Chemotherapy	Polyamine Analogue PG11047	CGC(PG)-11047
http://purl.obolibrary.org/obo/NCIT_C104280	p53/HDM2 Interaction Inhibitor CGM097	"An orally bioavailable HDM2 (human homolog of double minute 2) antagonist with potential antineoplastic activity. Upon oral administration, p53/HDM2 interaction inhibitor CGM097 inhibits the binding of the HDM2 protein to the transcriptional activation domain of the tumor suppressor protein p53. By preventing this HDM2-p53 interaction, the proteasome-mediated enzymatic degradation of p53 is inhibited, which may result in the restoration of p53 signaling and, thus, the p53-mediated induction of tumor cell apoptosis. HDM2, a zinc finger nuclear phosphoprotein, is a negative regulator of the p53 pathway, often overexpressed in cancer cells and has been implicated in cancer cell proliferation and survival."	Targeted therapy	p53/HDM2 Interaction Inhibitor CGM097	CGM097
http://purl.obolibrary.org/obo/NCIT_C117230	pan-PI3K Inhibitor CLR457	"An orally bioavailable pan inhibitor of phosphatidylinositol-3-kinase (PI3K), with potential antineoplastic activity. Upon oral administration, pan-PI3K inhibitor CLR457 inhibits all of the PI3K kinase isoforms, which may result in apoptosis and growth inhibition in tumor cells overexpressing PI3K. Activation of the PI3K pathway promotes cell growth, survival, and resistance to both chemotherapy and radiotherapy."	Targeted therapy	pan-PI3K Inhibitor CLR457	CLR457
http://purl.obolibrary.org/obo/NCIT_C9610	CMC Regimen	"A chemotherapy regimen consisting of cyclophosphamide, methotrexate, and lomustine (CCNU) that may be used in the treatment of small cell lung cancer (SCLC)."	Chemotherapy	CMC Regimen	CMC
http://purl.obolibrary.org/obo/NCIT_C62040	Irinotecan	"A semisynthetic derivative of camptothecin, a cytotoxic, quinoline-based alkaloid extracted from the Asian tree Camptotheca acuminata.  Irinotecan, a prodrug, is converted to a biologically active metabolite 7-ethyl-10-hydroxy-camptothecin (SN-38) by a carboxylesterase-converting enzyme.  One thousand-fold more potent than its parent compound irinotecan, SN-38 inhibits topoisomerase I activity by stabilizing the cleavable complex between topoisomerase I and DNA, resulting in DNA breaks that inhibit DNA replication and trigger apoptotic cell death.  Because ongoing DNA synthesis is necessary for irinotecan to exert its cytotoxic effects, it is classified as an S-phase-specific agent."	Chemotherapy	Irinotecan	CPT11
http://purl.obolibrary.org/obo/NCIT_C63525	CVD Regimen	"A regimen consisting of cisplatin, vinblastine and dacarbazine used for the treatment of advanced-stage or metastatic malignant melanoma."	Chemotherapy	CVD Regimen	CVD Regimen
http://purl.obolibrary.org/obo/NCIT_C66937	Cabazitaxel	"A semi-synthetic derivative of the natural taxoid 10-deacetylbaccatin III with potential antineoplastic activity. Cabazitaxel binds to and stabilizes tubulin, resulting in the inhibition of microtubule depolymerization and cell division, cell cycle arrest in the G2/M phase, and the inhibition of tumor cell proliferation. Unlike other taxane compounds, this agent is a poor substrate for the membrane-associated, multidrug resistance (MDR), P-glycoprotein (P-gp) efflux pump and may be useful for treating multidrug-resistant tumors. In addition, cabazitaxel penetrates the blood-brain barrier (BBB)."	Chemotherapy	Cabazitaxel	Cabazitaxel
