model_id,passage_range,treatment_name,treatment_type,treatment_dose,administration_route,treatment_schedule,treatment_length,treatment_response,response_classification,platform_id,provider
HBCx-131,10,Palbociclib,treatment,75 mg/kg,per os,5x/w,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-131,10,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-131,10,Erdafitinib,treatment,12.5 mg/kg,per os,5x/w,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-131,10,Erdatitinib + Fulvestrant,treatment,12.5 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-131,24,Paclitaxel,treatment,20 mg/kg,Intraperitoneal,1x/w,39 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-131,24,Enhertu,treatment,10 mg/kg,Intravenous,one injection,39 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-134,6,Fulvestrant,treatment,50 mg/kg,subcutaneous,once a week,36 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-134,6,Palbociclib,treatment,75 mg/kg,per os,5x/w,36 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-134,6,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,36 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-134,10,BYL719,treatment,35 mg/kg,per os,5x/w,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-134,10,BYL719 + Fulvestrant,treatment,35 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-137,4,Fulvestrant,treatment,50 mg/kg,subcutaneous,once a week,39 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-137,4,Palbociclib,treatment,75 mg/kg,per os,5x/w,39 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-137,4,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,39 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-137,4,AZD4547,treatment,12.5 mg/kg,per os,5x/w,39 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-137,4,AZD4547 + Fulvestrant,treatment,12.5 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,39 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-137,4,Erdafitinib,treatment,12.5 mg/kg,per os,5x/w,39 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-137,14,Everolimus + Fulvestrant,treatment,2.5 mg/kg + 50 mg/kg,per os + subcutaneous,3x/w + once a week,25 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-139,6,Fulvestrant,treatment,50 mg/kg,subcutaneous,once a week,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-139,6,Palbociclib,treatment,75 mg/kg,per os,5x/w,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-139,6,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,53 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-139,6,BYL719,treatment,35 mg/kg,per os,5x/w,53 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-139,6,BYL719 + Fulvestrant,treatment,35 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,53 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-139,10,Everolimus + Fulvestrant,treatment,2.5 mg/kg + 25 mg/kg,per os + subcutaneous,3x/w + once a week,46 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-142,4,Fulvestrant,treatment,50 mg/kg,subcutaneous,once a week,62 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-142,4,Palbociclib,treatment,75 mg/kg,per os,5x/w,62 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-142,4,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,62 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-142,4,AZD5363,treatment,50x2 mg/kg,per os,"5x/w, BID",62 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-142,4,AZD5363 + Fulvestrant,treatment,50x2 mg/kg + 50 mg/kg,per os + subcutaneous,"5x/w, BID + once a week",62 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-142,4,Everolimus,treatment,2.5 mg/kg,per os,3x/w,62 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-150,3,AZD4547,treatment,12.5 mg/kg,per os,5x/w,39 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-176,4,Palbociclib,treatment,75 mg/kg,per os,5x/w,25 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-176,4,Selumetinib,treatment,50 mg/kg,per os,5x/w,25 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-176,4,Trametinib,treatment,1 mg/kg,per os,5x/w,25 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-180,3,Fulvestrant,treatment,50 mg/kg,subcutaneous,once a week,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-180,3,Palbociclib,treatment,75 mg/kg,per os,5x/w,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-180,3,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-180,3,Everolimus + Fulvestrant,treatment,2.5 mg/kg + 50 mg/kg,per os + subcutaneous,3x/w + once a week,53 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-180,3,BYL719 + Fulvestrant,treatment,35 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,53 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-180,9,Enhertu,treatment,4 mg/kg,intravenous,one injection,54 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-180,9,Enhertu,treatment,10 mg/kg,intravenous,one injection,54 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-202,1,Palbociclib,treatment,75 mg/kg,per os,5x/w,32 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-202,1,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,32 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-202,11,Paclitaxel,treatment,15 mg/kg,Intraperitoneal,once a week,45 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-227,2,Palbociclib + Fulvestrant,treatment,75 mg/kg + 50 mg/kg,per os + subcutaneous,5x/w + once a week,25 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-227,2,Everolimus + Fulvestrant,treatment,2.5 mg/kg + 50 mg/kg,per os + subcutaneous,3x/w + once a week,25 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-217,4,Adriamycine + Cyclophosphamide,treatment, 2 mg/kg +  100 mg/kg,Intraperitoneal,1x/3w,22 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-217,4,Paclitaxel ,treatment,25 mg/kg,Intraperitoneal,1x/w,43 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-217,4,Carboplatine ,treatment,90 mg/kg,Intraperitoneal,1x/3w,22 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-217,4,Xeloda ,treatment,270x2 mg/kg,per os,"5x/w, BID",43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-217,4,CPT11,treatment,50 mg/kg,Intraperitoneal,1x/w,43 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-217,4,Talazoparib ,treatment,"2x0,17 mg/kg",per os,"4x/w, BID",22 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-210,4,Adriamycine + Cyclophosphamide,treatment, 2 mg/kg +  100 mg/kg,Intraperitoneal,1x/3w,43 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-210,4,Paclitaxel ,treatment,25 mg/kg,Intraperitoneal,1x/w,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-210,4,Carboplatine ,treatment,90 mg/kg,Intraperitoneal,1x/3w,43 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-210,4,Xeloda ,treatment,270x2 mg/kg,per os,"5x/w, BID",43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-210,4,CPT11,treatment,50 mg/kg,Intraperitoneal,1x/w,43 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-210,4,Talazoparib ,treatment,"2x0,17 mg/kg",per os,"4x/w, BID",43 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-206,3,Adriamycine + Cyclophosphamide,treatment, 2 mg/kg +  100 mg/kg,Intraperitoneal,1x/3w,43 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-206,3,Paclitaxel ,treatment,25 mg/kg,Intraperitoneal,1x/w,43 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-206,3,Carboplatine ,treatment,90 mg/kg,Intraperitoneal,1x/3w,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-206,3,Xeloda ,treatment,270x2 mg/kg,per os,"5x/w, BID",43 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-206,3,CPT11,treatment,50 mg/kg,Intraperitoneal,1x/w,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-206,3,Gedatolisib,treatment,10 mg/kg,Intraperitoneal,5x/w,43 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-206,3,Talazoparib ,treatment,"2x0,17 mg/kg",per os,"4x/w, BID",43 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-200,3,Adriamycine + Cyclophosphamide,treatment, 2 mg/kg +  100 mg/kg,Intraperitoneal,1x/3w,22 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-200,3,Paclitaxel ,treatment,25 mg/kg,Intraperitoneal,1x/w,22 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-200,3,Carboplatine ,treatment,90 mg/kg,Intraperitoneal,1x/3w,22 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-200,3,Xeloda ,treatment,270x2 mg/kg,per os,"5x/w, BID",22 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-200,3,CPT11,treatment,50 mg/kg,Intraperitoneal,1x/w,22 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-200,3,Gedatolisib,treatment,10 mg/kg,Intraperitoneal,5x/w,22 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-200,3,Talazoparib ,treatment,"0,2 mg/kg",per os,3x/w,22 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-200,3,Olaparib,treatment,2x50 mg/kg,per os,"5x/w, BID",15 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-209,2,Adriamycine + Cyclophosphamide,treatment, 2 mg/kg +  100 mg/kg,Intraperitoneal,1x/3w,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-209,2,Paclitaxel ,treatment,25 mg/kg,Intraperitoneal,1x/w,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-209,2,Carboplatine ,treatment,90 mg/kg,Intraperitoneal,1x/3w,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-209,2,Xeloda ,treatment,270x2 mg/kg,per os,"5x/w, BID",43 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-209,2,CPT11,treatment,50 mg/kg,Intraperitoneal,1x/w,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-209,2,Talazoparib ,treatment,"2x0,17 mg/kg",per os,5x/w,43 days,response,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-209,12,Olaparib,treatment,75 mg/kg,per os,5x/w,40 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-209,12,Talazoparib ,treatment,"2x0,17 mg/kg",per os,4x/w,40 days,stable disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-185,17,Adriamycine + Cyclophosphamide,treatment, 2 mg/kg +  100 mg/kg,Intraperitoneal,1x/3w,15 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-185,17,Paclitaxel ,treatment,25 mg/kg,Intraperitoneal,1x/w,15 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-185,17,Carboplatine ,treatment,90 mg/kg,Intraperitoneal,1x/3w,22 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-185,17,Xeloda ,treatment,270x2 mg/kg,per os,"5x/w, BID",15 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
 from baseline<35 /Non responder: % of change from baseline>35 ; TGI<50%",drugdosing,Curie-BC
HBCx-185,17,CPT11,treatment,50 mg/kg,Intraperitoneal,1x/w,15 days,progressive disease,"Responder: -50<% of change from baseline ; TGI>50% / Stable disease: -50<% of change
