Field	model_id	name	type	growth_properties	parent_id	origin_patient_sample_id	comments	supplier	external_ids	publications
	SIDM01162	SW156	Cell Line	Adherent			 	ATCC:CRL-2175	COSMIC1240220,ACH-001398,CVCL_1719,CCLE_Name:SW156_KIDNEY	
	SIDM01593	HCC95	Cell Line	Adherent			 	KCLB:70095	ACH-000454,CVCL_5137,CCLE_Name:HCC95_LUNG	
	SIDM00138	NCI-H23	Cell Line	Adherent			 	NCI:NCI-H23	COSMIC905942,ACH-000900,CVCL_1547,CCLE_Name:NCIH23_LUNG	
	SIDM00455	PA-TU-8902	Cell Line	Adherent			 	DSMZ:ACC-179	COSMIC1298526,ACH-000599,CVCL_1845,CCLE_Name:PATU8902_PANCREAS	
	SIDM01626	LN-319	Cell Line	Adherent	SIDM01366	SIDS01392	 LN-319 was found to be a derivative of LN-992. (PubMed=22570425).	AddexBio:C0005001	ACH-000128,CVCL_3958,CCLE_Name:LN319_CENTRAL_NERVOUS_SYSTEM	
	SIDM00666	Hs-683	Cell Line	Adherent			 	ATCC:HTB-138	COSMIC1240150,ACH-000067,CVCL_0844,CCLE_Name:HS683_CENTRAL_NERVOUS_SYSTEM	
	SIDM00635	MC-CAR-Z2	Cell Line	Suspension			 MC-CAR-Z2 is a derivative of MC-CAR (ATCC).	ATCC:CRL-8147	CVCL_6671	
	SIDM00368	SBC-5	Cell Line	Unknown			 	JCRB:JCRB0819	COSMIC713880,ACH-000670,CVCL_1679,CCLE_Name:SBC5_LUNG	
	SIDM01129	NCI-H524	Cell Line	Suspension			 	ATCC:CRL-5831	COSMIC908483,ACH-000816,CVCL_1568,CCLE_Name:NCIH524_LUNG	
	SIDM00533	HuP-T3	Cell Line	Adherent			 	ECACC:93121055	COSMIC907285,ACH-000118,CVCL_1299,CCLE_Name:HUPT3_PANCREAS	
	SIDM00524	DMS-79	Cell Line	Suspension			 	ECACC:95062824	COSMIC753551,ACH-000703,CVCL_1178,CCLE_Name:DMS79_LUNG	
	SIDM00821	RCC-AB	Cell Line	Adherent			 	CLS:RCC-AB	COSMIC1524418,ACH-002187,CVCL_5868,CCLE_Name:RCCAB_KIDNEY	
	SIDM00592	HO-1-N-1	Cell Line	Adherent			 	JCRB:JCRB0831	COSMIC924111,ACH-002244,CVCL_1284,CCLE_Name:HO1N1_UPPER_AERODIGESTIVE_TRACT	
	SIDM00971	ZR-75-30	Cell Line	Adherent			 	ATCC:CRL-1504	COSMIC909907,ACH-000828,CVCL_1661,CCLE_Name:ZR7530_BREAST	
	SIDM00397	Set2	Cell Line	Suspension			 	DSMZ:ACC-608	COSMIC1659820,ACH-000195,CVCL_2187,CCLE_Name:SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00114	NCI-H513	Cell Line	Unknown			 NCI-H125 and NCI-H513 have been show to be cross contaminated (ATCC, ICLAC)	NCI-Navy Medical Oncology Branch:NCI-H513	COSMIC1240141,ACH-002335,CVCL_A570,CCLE_Name:NCIH513_PLEURA	
	SIDM00514	COLO-794	Cell Line	Unknown			 COLO-818 has been shown to come from the same patient as COLO-800 (DOI: 10.1002/ijc.25242.) COLO-800 and COLO-794 were both derived from the same patient (ECACC).	ECACC:94072237	COSMIC1297437,ACH-001339,CVCL_2408,CCLE_Name:COLO794_SKIN	
	SIDM01330	PaCaDD-159	Cell Line	Adherent			https://www.austinpublishinggroup.com/cancer-clinical-research/fulltext/cancer-v2-id1055.php 	DSMZ:ACC 745	ACH-001378,CVCL_M465,CCLE_Name:PACADD159_PANCREAS	
	SIDM01444	SNU-626	Cell Line	Adherent			 	KCLB:00626	ACH-000370,CVCL_5080,CCLE_Name:SNU626_CENTRAL_NERVOUS_SYSTEM	11776963.0
	SIDM00563	MY	Cell Line	Unknown			 MY-M12 is the subclone of the MY (JCRB).	JCRB:JCRB0158.0	CVCL_3034	
	SIDM01766	SW1353	Cell Line	Adherent			 	ATCC:HTB-94	ACH-000418,,CCLE_Name:SW1353_BONE	
	SIDM00083	SF539	Cell Line	Unknown			 	NCI:SF-539	COSMIC905984,ACH-000273,CVCL_1691,CCLE_Name:SF539_CENTRAL_NERVOUS_SYSTEM	
	SIDM00687	KATOIII	Cell Line	Semi-Adherent			 	ATCC:HTB-103	COSMIC907276,ACH-000793,CVCL_0371,CCLE_Name:KATOIII_STOMACH	
	SIDM00603	KOSC-2	Cell Line	Unknown			 	JCRB:JCRB0126.1	COSMIC753570,ACH-002260,CVCL_1337,CCLE_Name:KOSC2_UPPER_AERODIGESTIVE_TRACT	
	SIDM00728	NCI-H2291	Cell Line	Adherent			 	ATCC:CRL-5939	COSMIC724874,ACH-000718,CVCL_1546,CCLE_Name:NCIH2291_LUNG	
	SIDM01702	Hs-739-T	Cell Line	Adherent			 	ATCC:CRL-7477	ACH-000413,,CCLE_Name:HS739T_FIBROBLAST	
	SIDM01074	GMS-10	Cell Line	Adherent			 	DSMZ:ACC-405	COSMIC906873,ACH-000102,CVCL_1233,CCLE_Name:GMS10_CENTRAL_NERVOUS_SYSTEM	
	SIDM01240	451Lu	Cell Line	Adherent	SIDM00802	SIDS00062	 451Lu is a selected xenograft aggressive metastatic sub-line of WM164 (Rockland).	Rockland:451Lu	COSMIC1287706,ACH-001002,CVCL_6357,CCLE_Name:451LU_SKIN	
	SIDM00346	LAMA-84	Cell Line	Suspension			 LAMA-87 is a subclone of LAMA-84 obtained after subcutaneous transplantation of LAMA-84 cells into estrone-treated nude mice (DSMZ).	DSMZ:ACC-168	COSMIC907783,ACH-000301,CVCL_0388,CCLE_Name:LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00747	NCI-H1623	Cell Line	Semi-Adherent			 	ATCC:CRL-5881	COSMIC687798,ACH-000744,CVCL_1481,CCLE_Name:NCIH1623_LUNG	
	SIDM00454	RH-18	Cell Line	Adherent			The RH-18 cell line was generated from a xenograft derived from a tumor from a previously untreated 2-year-old patient with a perineal RMS assigned as embryonal histology. (PMID: 23882450). 	DSMZ:ACC-491	COSMIC971774,ACH-000689,CVCL_1659,CCLE_Name:RH18_SOFT_TISSUE	3607778.0
	SIDM00739	NCI-H1734	Cell Line	Adherent			 	ATCC:CRL-5891	COSMIC722058,ACH-000675,CVCL_1491,CCLE_Name:NCIH1734_LUNG	
	SIDM01175	SW684	Cell Line	Adherent			 	ATCC:HTB-91	COSMIC909754,ACH-002309,CVCL_1726,CCLE_Name:SW684_SOFT_TISSUE	
	SIDM00402	RT-112	Cell Line	Unknown			 RT112-84 and RT-112 share common ancestry (DSMZ, ECACC).	DSMZ:ACC-418	COSMIC909704,ACH-000473,CVCL_1670,CCLE_Name:RT112_URINARY_TRACT	
	SIDM01393	SNU-216	Cell Line	Adherent			 	KCLB:00216	ACH-000466,CVCL_3946,CCLE_Name:SNU216_STOMACH	
	SIDM00589	HSC-3	Cell Line	Unknown			 	JCRB:JCRB0623	COSMIC907061,ACH-000778,CVCL_1288,CCLE_Name:HSC3_UPPER_AERODIGESTIVE_TRACT	
	SIDM00849	A704	Cell Line	Unknown			 	ATCC:CRL-7911	COSMIC910920,ACH-000429,CVCL_1065,CCLE_Name:A704_KIDNEY	
	SIDM00591	HO-1-u-1	Cell Line	Unknown			 	JCRB:JCRB0828	COSMIC753561,ACH-002045,CVCL_2784,CCLE_Name:HO1U1_UPPER_AERODIGESTIVE_TRACT	
	SIDM01053	EFM-192C	Cell Line	Adherent			 EFM-192B and EFM-192C were established from the same patient as EFM-192A (DSMZ).	DSMZ:ACC-311	COSMIC1290799,,CVCL_1814	
	SIDM00923	Ca-Ski	Cell Line	Adherent			 	ATCC:CRL-1550	COSMIC906824,ACH-001336,CVCL_1100,CCLE_Name:CASKI_CERVIX	
	SIDM00737	NCI-H1770	Cell Line	Suspension			 NCI-BL1770 is a lymphoblastoid line established from the same patient as NCI-H1770 (ATCC).	ATCC:CRL-5893	COSMIC687804,ACH-001362,CVCL_1493,CCLE_Name:NCIH1770_LUNG	
	SIDM01520	BICR16	Cell Line	Adherent			 	ECACC:6031001	ACH-000503,CVCL_2308,CCLE_Name:BICR16_UPPER_AERODIGESTIVE_TRACT	
	SIDM01237	C3A	Cell Line	Adherent	SIDM00904	SIDS00090	 C3A is clonal derivative of Hep-G2 that was selected for strong contact inhibition of growth, high albumin production, high production of alpha fetoprotein (AFP) and ability to grow in glucose deficient medium (ATCC).	ATCC:CRL-10741	COSMIC910850,ACH-001021,CVCL_1098,CCLE_Name:C3A_LIVER	
	SIDM00974	WM35	Cell Line	Adherent			 	ATCC:CRL-2807	COSMIC1299080,ACH-002207,CVCL_0580,CCLE_Name:WM35_SKIN	
	SIDM00440	ML-1	Cell Line	Suspension			 The ML-1, ML-2, and ML-3 lines were all established from the peripheral blood samples obtained from the same patient with acute myeloid leukemia (PMID: 3458526).	ECACC:88113007	CVCL_0436	
	SIDM00578	NB1	Cell Line	Unknown			 	JCRB:JCRB0621	COSMIC949179,ACH-000804,CVCL_1440,CCLE_Name:NB1_AUTONOMIC_GANGLIA	
	SIDM00556	KP-N-YN	Cell Line	Unknown			 	JCRB:IFO50431	COSMIC907314,ACH-000227,CVCL_1341,CCLE_Name:KPNYN_AUTONOMIC_GANGLIA	
	SIDM00823	COLO-201	Cell Line	Semi-Adherent			 COLO-201, COLO-205 and COLO-206F were all established from the ascites fluid of a patient with adenocarcinoma of the colon. COLO-197 is a lymphoid line established from the original biopsy of the same patient. COLO-200 is a lymphoid line establisted from the peripheral blood of the same patient (PMID: 565251).	ECACC:87091201	COSMIC906819,ACH-000253,CVCL_1987,CCLE_Name:COLO201_LARGE_INTESTINE	565251.0
	SIDM01582	KE-39	Cell Line	Adherent			 	RIKEN:RCB1434 	ACH-000507,CVCL_3385,CCLE_Name:KE39_STOMACH	
	SIDM00412	WSU-NHL	Cell Line	Suspension			 	DSMZ:ACC-58	COSMIC909785,ACH-001709,CVCL_1793,CCLE_Name:WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00432	MOLT-14	Cell Line	Suspension			 MOLT-13 and MOLT-14 are simultaneous sister cell lines derived from the same patient (DSMZ).	DSMZ:ACC-437	CVCL_1423	
	SIDM00914	HMCB	Cell Line	Adherent			 HCMB and RPMI-7932 were both derived from the same patient (ATCC). CHL-1 is a dervivative of RPMI-7932 (ATCC).  COLO-699N (COLO-699) and COLO-738 were found to be indistinguishable from RPMI-7932 by STR profiling. All three cell lines were received from the same depositor (ECACC).	ATCC:CRL-9607	ACH-000931,CVCL_3317,CCLE_Name:HMCB_SKIN	
	SIDM00488	CaR-1	Cell Line	Adherent			 	JCRB:JCRB0207	COSMIC924108,ACH-002345,CVCL_1116,CCLE_Name:CAR1_LARGE_INTESTINE	
	SIDM01632	KLM-1	Cell Line	Adherent	SIDM01321	SIDS01436	 KLM-1 and RPK-1 were both derived from the PK-1 cell line.  KLM-1 was generated through injection of PK-1 and tumour formation in nude mice. (RIKEN, PMID: 8872523). RPK-1 is a gemcitabine resistant sublcone of PK-1. (PMID: 22490663)	RIKEN:RCB2138	ACH-001101,CVCL_5146	8872523.0
	SIDM00595	HEC-1-A	Cell Line	Adherent			 HEC-1-A was derived from the same patient as HEC-1 (JCRB). HEC-1-B is a substrain of HEC-1-A (ATCC).	ATCC:HTB-112	ACH-000954,CVCL_0293,CCLE_Name:HEC1A_ENDOMETRIUM	
	SIDM00418	TT2609-C02	Cell Line	Adherent			 	DSMZ:ACC-510	COSMIC1240223,ACH-000716,CVCL_2218,CCLE_Name:TT2609C02_THYROID	
	SIDM01535	CHLA-57	Cell Line	Unknown			 	Childhood Cancer Repository:CHLA-57	ACH-001033,CVCL_0B49,CCLE_Name:CHLA57_BONE	
	SIDM01579	KKU-100	Cell Line	Adherent			 	JCRB:JCRB1568	ACH-001536,CVCL_3996,CCLE_Name:KKU100_BILIARY_TRACT	
	SIDM00569	NY	Cell Line	Unknown			 	JCRB:JCRB0614	COSMIC910849,ACH-002178,CVCL_1613,CCLE_Name:NY_BONE	
	SIDM01326	PaCaDD-188	Cell Line	Adherent			https://www.austinpublishinggroup.com/cancer-clinical-research/fulltext/cancer-v2-id1055.php 	DSMZ:ACC 753	ACH-001382,CVCL_M469,CCLE_Name:PACADD188_PANCREAS	
	SIDM00872	HCC1954	Cell Line	Adherent			 HCC1954-BL is a B-lymphoblastoid cell line initiated from peripheral blood lymphocytes obtained from the same patient as HCC1954 (ATCC).	ATCC:CRL-2338	COSMIC749709,ACH-000859,CVCL_1259,CCLE_Name:HCC1954_BREAST	
	SIDM00093	ONCO-DG-1	Cell Line	Unknown			 ONCO-DG-1 is cross-contaminated with cell line OVCAR-3 (DSMZ).	DSMZ:ACC-507	COSMIC1298360,ACH-000013,CVCL_1882,CCLE_Name:ONCODG1_OVARY	
	SIDM00777	NCI-H508	Cell Line	Suspension			 	ATCC:CCL-253	COSMIC908442,ACH-000360,CVCL_1564,CCLE_Name:NCIH508_LARGE_INTESTINE	
	SIDM00867	DBTRG-05MG	Cell Line	Adherent			 	ATCC:CRL-2020	COSMIC906835,ACH-000863,CVCL_1169,CCLE_Name:DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	
	SIDM00806	HOS	Cell Line	Adherent			 HOS and 143B originated from the same patient: 143B is TK- and originated indirectly from HOS which is TK+ (ECACC & PMID: 20544518).  HTK- and 143B have a common STR profile and are thought to be the same cell line (ECACC).	ATCC:CRL-1543	COSMIC907060,ACH-000613,CVCL_0312,CCLE_Name:HOS_BONE	
	SIDM01773	REC-1	Cell Line	Suspension			 	ATCC:CRL-3004	ACH-000068,,CCLE_Name:REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00561	MLMA	Cell Line	Unknown			 	JCRB:JCRB0146	COSMIC908142,ACH-002274,CVCL_1419,CCLE_Name:MLMA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM01903	Mero-41	Cell Line	Adherent			Note made of patient's history of exposure to asbestos (ECACC). 	ECACC:09100103	ACH-001557,,CCLE_Name:MERO41_PLEURA	2474517.0
	SIDM00145	MOLT-4	Cell Line	Suspension			 MOLT-4 was derived from the same patient as MOLT-3 (ATCC).	NCI:MOLT-4	COSMIC905958,ACH-001127,CVCL_0013,CCLE_Name:MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM01781	SNU-620	Cell Line	Suspension			 	KCLB:00620	ACH-000325,,CCLE_Name:SNU620_STOMACH	
	SIDM01717	COR-L51	Cell Line	Suspension			 	ECACC:92031916	ACH-001047,,CCLE_Name:CORL51_LUNG	
	SIDM00303	JHOS-4	Cell Line	Adherent			 	RIKEN:RCB1678	COSMIC1480359,ACH-000584,CVCL_4649,CCLE_Name:JHOS4_OVARY	
	SIDM01549	C80	Cell Line	Adherent			 	ECACC:12022904	ACH-001459,CVCL_5249,CCLE_Name:C80_LARGE_INTESTINE	
	SIDM01255	GA-10 (Clone 20)	Cell Line	Suspension	SIDM00854	SIDS00125	 GA-10-Clone-4 and GA-10-Clone-20 are subclones of the GA 10 cell line derived by culturing the parental line on semi solid medium conditioned by a feeder layer (ATCC).	ATCC:CRL-2394	CVCL_1223	
	SIDM01174	SW756	Cell Line	Adherent			 	ATCC:CRL-10302	COSMIC724839,ACH-001402,CVCL_1727,CCLE_Name:SW756_CERVIX	
	SIDM01783	Mero-14	Cell Line	Adherent			Patient has a history of asbestos exposure. 	ECACC:09100101	ACH-001555,,CCLE_Name:MERO14_PLEURA	
	SIDM00789	HCT-15	Cell Line	Adherent			 DLD-1, HCT-15, HCT-8 and HRT-18 have been shown to have a common genetic origin (ECACC & PMID: 9809040).	NCI:HCT-15	COSMIC905937,ACH-000997,CVCL_0292,CCLE_Name:HCT15_LARGE_INTESTINE	
	SIDM01382	MM426	Cell Line	Adherent			 	CellBank Australia:CBA-1352	ACH-001570,CVCL_2609,CCLE_Name:MM426_SKIN	
	SIDM00961	CADO-ES1	Cell Line	Adherent			 	DSMZ:ACC-255	COSMIC753539,ACH-000210,CVCL_1103,CCLE_Name:CADOES1_BONE	
	SIDM01002	EFM-192A	Cell Line	Adherent			 EFM-192B and EFM-192C were established from the same patient as EFM-192A (DSMZ).	DSMZ:ACC-258	COSMIC1290798,ACH-000117,CVCL_1812,CCLE_Name:EFM192A_BREAST	
	SIDM00082	SK-MEL-2	Cell Line	Adherent			 	NCI:SK-MEL-2	COSMIC905955,ACH-001190,CVCL_0069,CCLE_Name:SKMEL2_SKIN	
	SIDM01657	KMS-28-BM	Cell Line	Suspension			 KMS-28-PE and KMS-28-BM were both derived independent samples, pleural effusion and bone marrow, from the same patient (PMID: 11886382).	JCRB:JCRB1192	ACH-000419,,CCLE_Name:KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00562	MRK-nu-1	Cell Line	Unknown			 	JCRB:JCRB0628	COSMIC908151,ACH-002163,CVCL_1428,CCLE_Name:MRKNU1_BREAST	
	SIDM01451	SNU-324	Cell Line	Semi-Adherent			 	KCLB:00324	ACH-000933,CVCL_5051,CCLE_Name:SNU324_PANCREAS	12037578.0
	SIDM00989	BFTC-905	Cell Line	Adherent			 	DSMZ:ACC-361	COSMIC910926,ACH-000802,CVCL_1083,CCLE_Name:BFTC905_URINARY_TRACT	
	SIDM01223	I-2-1	Cell Line	Suspension	SIDM01016	SIDS00539	 J-RT3-T3-5 is a derivative mutant of the Jurkat subclone Jurkat-Clone-E61 that lacks the beta chain of the T cell antigen receptor (ATCC). A3 is a wild-type A3 subclone of Jurkat generated through treatment with Fas Antibody and is very sensitive to Fas-mediated apoptosis (ATCC). I-9-2 and I-2-1 are subclones of A3 generated by treating A3 clone with ICR-191 (frameshifting mutagen) in the presence of Fas Antibody for 3-5 weeks (ATCC). I-9-2 has a mutation in the cysteine protease caspase-8/FLICE (ATCC). I-2-1 has amutation in the adaptor FADD (ATCC). Jurkat-Clone-E61 is a clone of Jurkat-FHCRC which is itself a derivative of the Jurkat cell line (ATCC). JKT-beta-del is a derivative of Jurkat isolated by cell sorting and lacks the surface expression of the T-cell receptor alpha/beta/CD3 complex. (JCRB)	ATCC:CRL-2572	CVCL_3724	
	SIDM01229	BE2-M17	Cell Line	Adherent	SIDM00894	SIDS00084	 BE2-M17 is a subclone of SK-N-BE-2. BE2-C is a subclone of SK-N-BE-2 (ATCC).	ATCC:CRL-2267	COSMIC753616,ACH-002217,CVCL_0167,CCLE_Name:BE2M17_AUTONOMIC_GANGLIA	
	SIDM01560	Hs-729-T	Cell Line	Adherent			 	ATCC:HTB-153	ACH-000133,CVCL_0871,CCLE_Name:HS729_SOFT_TISSUE	
	SIDM01121	NCI-H69	Cell Line	Suspension			 	ATCC:HTB-119	COSMIC688027,ACH-000358,CVCL_1579,CCLE_Name:NCIH69_LUNG	
	SIDM00380	SKM-1	Cell Line	Suspension			 	JCRB:JCRB0118	COSMIC909722,ACH-000373,CVCL_0098,CCLE_Name:SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00678	HT-1376	Cell Line	Adherent			 	ATCC:CRL-1472	COSMIC907066,ACH-000724,CVCL_1292,CCLE_Name:HT1376_URINARY_TRACT	
	SIDM00441	ML-2	Cell Line	Suspension			 The ML-1, ML-2, and ML-3 lines were all established from the peripheral blood samples obtained from the same patient with acute myeloid leukemia (PMID: 3458526).	DSMZ:ACC-15	COSMIC908141,ACH-002273,CVCL_1418,CCLE_Name:ML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM01622	HMC-1-8	Cell Line	Adherent			 	JCRB:JCRB0166	ACH-000721,CVCL_2949,CCLE_Name:HMC18_BREAST	
	SIDM00979	WM-266-4	Cell Line	Adherent			 WM115, WM266-4, WM239A and WM165-1 were all derived from the same patient.  WM115 cell line originated from the primary tumor, and WM239A, WM165-1 and WM266-4 were from individual lymph-node metastases (Rockland). 	Rockland:WM-266-4	COSMIC1299076,ACH-001239,CVCL_2765,CCLE_Name:WM2664_SKIN	
	SIDM00424	U-698-M	Cell Line	Suspension			 	DSMZ:ACC-4	COSMIC909777,ACH-001680,CVCL_0017,CCLE_Name:U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00647	NCI-H1870	Cell Line	Suspension			 NCI-H1870 and NCI-H1304 are known syonymous lines (ICLAC).	ATCC:CRL-5901	CVCL_1502	
	SIDM00385	RERF-LC-OK	Cell Line	Unknown			 SK-MG-1 and Marcus share common ancestry (JCRB).  RERF-LC-OK has been shown to be contaminated with Marcus cell line (ICLAC).	JCRB:JCRB0811	CVCL_3154	
	SIDM00846	HeLa	Cell Line	Adherent			 HeLaSF is a variant of Hela grown in serum free conditions. HEp-2 was originally thought to be derived from an epidermoid carcinoma of the larynx, but was found to contain HeLa marker chromosomes. DNA fingerprinting has confirmed it to have been established via HeLa cell contamination (ATCC). BCG-823 was originally reported as a human gastric adenocarcinoma cell line. However, the STR DNA analysis pattern of BCG-823 showed contamination with the HeLa cell line (PMID: 26116706; 28851942). GLC-82 was originally reported as a human lung adenocarcinoma cell line from a 32-year-old female patient. However, the STR DNA analysis pattern of GLC-82 showed contamination with the HeLa (PMID: 26116706).	ATCC:CCL-2	COSMIC1298134,ACH-001086,CVCL_0030,CCLE_Name:HELA_CERVIX	
	SIDM00741	NCI-H1694	Cell Line	Suspension			 	ATCC:CRL-5888	COSMIC688006,ACH-000431,CVCL_1489,CCLE_Name:NCIH1694_LUNG	
	SIDM00294	LU-135	Cell Line	Semi-Adherent			 	RIKEN:RCB0468	COSMIC713899,ACH-001549,CVCL_1389,CCLE_Name:LU135_LUNG	
	SIDM00496	HTC-C3	Cell Line	Adherent			 	RIKEN:RCB0452	COSMIC924151,ACH-001350,CVCL_1295,CCLE_Name:HTCC3_THYROID	
	SIDM00784	KG-1-C	Cell Line	Unknown			 	JCRB:JCRB0236	COSMIC1240164,ACH-000126,CVCL_2971,CCLE_Name:KG1C_CENTRAL_NERVOUS_SYSTEM	
	SIDM00401	RVH-421	Cell Line	Adherent			 	DSMZ:ACC-127	COSMIC909706,ACH-000614,CVCL_1672,CCLE_Name:RVH421_SKIN	
	SIDM01394	SNU-349	Cell Line	Adherent			 	KCLB:00349	ACH-000907,CVCL_5054,CCLE_Name:SNU349_KIDNEY	
	SIDM01738	HSC-5	Cell Line	Adherent			 	JCRB:JCRB1016	ACH-001524,,CCLE_Name:HSC5_SKIN	
	SIDM01812	NOZ	Cell Line	Adherent			 	JCRB:JCRB1033	ACH-001607,,CCLE_Name:NOZ_LIVER	
	SIDM00588	HSC-4	Cell Line	Adherent			 	JCRB:JCRB0624	COSMIC907062,ACH-000546,CVCL_1289,CCLE_Name:HSC4_UPPER_AERODIGESTIVE_TRACT	
	SIDM00394	SISO	Cell Line	Adherent			 	DSMZ:ACC-327	COSMIC1240212,ACH-001650,CVCL_2193,CCLE_Name:SISO_CERVIX	
	SIDM00084	SF295	Cell Line	Unknown			 	NCI:SF295	COSMIC905985,ACH-000376,CVCL_1690,CCLE_Name:SF295_CENTRAL_NERVOUS_SYSTEM	
	SIDM00384	SCC-3	Cell Line	Unknown			 	JCRB:JCRB0115	COSMIC910930,ACH-001642,CVCL_1683,CCLE_Name:SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00467	QIMR-WIL	Cell Line	Suspension			 	ECACC:86030601	COSMIC910545,ACH-002299,CVCL_1645,CCLE_Name:QIMRWIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00222	MPP-89	Cell Line	Adherent			 	ICLC:HTL00012	COSMIC908150,ACH-000319,CVCL_1427,CCLE_Name:MPP89_PLEURA	
	SIDM01140	PA-1	Cell Line	Adherent			 	ATCC:CRL-1572	COSMIC909255,ACH-001374,CVCL_0479,CCLE_Name:PA1_OVARY	
	SIDM01115	PL45	Cell Line	Adherent			 Panc-10-05 was derived from the same patient as the PL45 cell line (ATCC).	ATCC:CRL-2558	COSMIC725721,ACH-001171,CVCL_3567,CCLE_Name:PL45_PANCREAS	
	SIDM01618	HPB-ALL	Cell Line	Suspension			 	DSMZ:ACC 483	ACH-000942,CVCL_1820,CCLE_Name:HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
	SIDM00575	NMC-G1	Cell Line	Unknown			 	JCRB:IFO50467	COSMIC908449,ACH-000200,CVCL_1608,CCLE_Name:NMCG1_CENTRAL_NERVOUS_SYSTEM	
	SIDM00483	SK-GT-4	Cell Line	Adherent			 	ECACC:11012007	COSMIC1503365,ACH-001654,CVCL_2195,CCLE_Name:SKGT4_OESOPHAGUS	
	SIDM01813	HCA1	Cell Line	Adherent			 	JCRB:JCRB1153	ACH-001513,,CCLE_Name:HCA1_CERVIX	
	SIDM00990	BEN	Cell Line	Adherent			 	DSMZ:ACC-254	COSMIC753534,ACH-000603,CVCL_1082,CCLE_Name:BEN_LUNG	
	SIDM00235	RCC10RGB	Cell Line	Adherent			 	RIKEN:RCB1151	COSMIC909974,ACH-000189,CVCL_1647,CCLE_Name:RCC10RGB_KIDNEY	
	SIDM00228	FTC-238	Cell Line	Adherent			 FTC-133, FTC-236 and FTC-238 were all derived from the same individual (ECACC).	ECACC:94060902	COSMIC999825,ACH-000897,CVCL_2447,CCLE_Name:FTC238_THYROID	
